Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Jan 18	MasterCard Championship	Hawaii	1000000	Gil Morgan (8)	195 (-21)	200000
Feb 1	Royal Caribbean Classic	Florida	850000	David Graham (4)	202 (-11)	127500
Feb 8	LG Championship	Florida	1200000	Gil Morgan (9)	210 (-6)	180000
Feb 15	GTE Classic	Florida	1100000	Jim Albus (6)	207 (-6)	165000
Feb 23	American Express Invitational	Florida	1200000	Larry Nelson (1)	203 (-13)	180000
Mar 16	Toshiba Senior Classic	California	1100000	Hale Irwin (14)	200 (-13)	165000
Mar 29	Southwestern Bell Dominion	Texas	1000000	Lee Trevino (28)	205 (-11)	150000
Apr 5	The Tradition	Arizona	1400650	Gil Morgan (10)	276 (-12)	210000
Apr 19	PGA Seniors' Championship	Florida	1500000	Hale Irwin (15)	275 (-13)	270000
Apr 26	Las Vegas Senior Classic	Nevada	1400000	Hale Irwin (16)	281 (-6)	210000
May 3	Bruno's Memorial Classic	Alabama	1150000	Hubert Green (1)	203 (-13)	172500
May 10	The Home Depot Invitational	North Carolina	1100000	Jim Dent (12)	207 (-9)	165000
May 17	Saint Luke's Classic	Missouri	1000000	Larry Ziegler (2)	208 (-2)	150000
May 24	Bell Atlantic Classic	Pennsylvania	1100000	Jay Sigel (5)	205 (-11)	165000
May 31	Pittsburgh Senior Classic	Pennsylvania	1100000	Larry Nelson (2)	204 (-12)	165000
Jun 7	Nationwide Championship	Georgia	1350000	John Jacobs (1)	206 (-10)	202500
Jun 14	BellSouth Senior Classic at Opryland	Tennessee	1300000	Isao Aoki (8)	198 (-18)	195000
Jun 21	AT&T Canada Senior Open Championship	Canada	1100000	Brian Barnes (1)	277 (-11)	165000
Jun 28	Cadillac NFL Golf Classic	New Jersey	1100000	Bob Dickson (1)	207 (-9)	165000
Jul 5	State Farm Senior Classic	Maryland	1250000	Bruce Summerhays (2)	206 (-10)	187500
Jul 12	Ford Senior Players Championship	Michigan	2000000	Gil Morgan (11)	267 (-21)	300000
Jul 19	Ameritech Senior Open	Illinois	1300000	Hale Irwin (17)	201 (-15)	195000
Jul 26	U.S. Senior Open	California	1500000	Hale Irwin (18)	285 (1)	267500
Aug 2	Utah Showdown	Utah	1000000	Gil Morgan (12)	200 (-16)	150000
Aug 9	Coldwell Banker Burnet Classic	Minnesota	1500000	Leonard Thompson (1)	134 (-10)	225000
Aug 16	First of America Classic	Michigan	1000000	George Archer (18)	199 (-17)	150000
Aug 23	Northville Long Island Classic	New York	1000000	Gary Player (19)	204 (-12)	150000
Aug 30	BankBoston Classic	Massachusetts	1000000	Hale Irwin (19)	201 (-15)	150000
Sep 6	Emerald Coast Classic	Florida	1100000	Dana Quigley (2)	200 (-10)	165000
Sep 13	Comfort Classic	Indiana	1150000	Hugh Baiocchi (2)	196 (-20)	172500
Sep 20	Kroger Senior Classic	Ohio	1100000	Hugh Baiocchi (3)	133 (-7)	165000
Sep 27	Boone Valley Classic	Missouri	1300000	Larry Nelson (3)	200 (-16)	195000
Oct 4	Vantage Championship	North Carolina	1500000	Gil Morgan (13)	198 (-12)	225000
Oct 11	The Transamerica	California	1000000	Jim Colbert (19)	205 (-11)	150000
Oct 18	Raley's Gold Rush Classic	California	1000000	Dana Quigley (3)	203 (-13)	150000
Oct 25	EMC Kaanapali Classic	Hawaii	1000000	Jay Sigel (6)	201 (-12)	150000
Nov 1	Pacific Bell Senior Classic	California	1100000	Joe Inman (1)	202 (-11)	165000
