Series	Name	Hometown	Occupation	Status
BB1	Craig Phillips	Liverpool	Builder	1st - Winner
BB1	Anna Nolan	Dublin	Office Manager	2nd - Runner-up
BB1	Darren Ramsay	London	Millennium Dome Assistant	3rd - Third place
BB1	Melanie Hill	London	Computer Sales Woman	4th - Evicted
BB1	Claire Strutton	Buckinghamshire	Florist	5th - Evicted
BB1	Tom McDermott	County Tyrone	Farmer	6th - Evicted
BB1	Nichola Holt	Bolton	Teacher	7th - Evicted
BB1	Nick Bateman	Kent	Broker	8th - Ejected
BB1	Caroline O'Shea	Birmingham	Marital Aids Seller	9th - Evicted
BB1	Andrew Davidson	Hertfordshire	Marketing Product Manager	10th - Evicted
BB1	Sada Wilkington	Edinburgh	Writer	11th - Evicted
BB2	Brian Dowling	County Kildare	Air Steward	1st - Winner
BB2	Helen Adams	South Wales	Hairdresser	2nd - Runner-up
BB2	Dean O'Loughlin	Birmingham	Runs own Internet Company	3rd - Third Place
BB2	Elizabeth Woodcock	Cumbria	Website Designer	4th - Evicted
BB2	Paul Clarke	Reading	CAD designer	5th - Evicted
BB2	Josh Rafter	London	Property manager	6th - Evicted
BB2	Amma Antwi-Agyei	London	Table Dancer	7th - Evicted
BB2	Bubble (Paul) Ferguson	Surrey	Warehouse Operative	8th - Evicted
BB2	Narinder Kaur	Leicester	Medical rep	9th - Evicted
BB2	Stuart Hosking	Oxford	Director of communications company	10th - Evicted
BB2	Penny Ellis	London	Teacher	11th - Evicted
BB3	Kate Lawler	London	Technical support administrator	1st - Winner
BB3	Jonny Regan	County Durham	Firefighter	2nd - Runner-up
BB3	Alex Sibley	London	Model	3rd - Third Place
BB3	Jade Goody	London	Dental Nurse	4th - Evicted
BB3	Tim Culley	Worcester	Tennis coach	5th - Evicted
BB3	PJ (Peter) Ellis	Birmingham	Student	6th - Evicted
BB3	Adele Roberts	Southport	PA/DJ	7th - Evicted
BB3	Sophie Pritchard	Buckinghamshire	Recruitment Consultant	8th - Evicted
BB3	Spencer Smith	Cambridge	Ski Shop Assistant	9th - Evicted
BB3	Lee Davey	Leicester	Fitness Instructor	10th - Evicted
BB3	Sandy Cumming	London	Personal shopper/Stylist	11th - Walked
BB3	Alison Hammond	Birmingham	Cinema Team Leader	12th - Evicted
BB3	Lynne Moncrieff	Aberdeen	Student	13th - Evicted
BB3	Sunita Sharma	London	Trainee barrister	14th - Walked
BB4	Cameron Stout	Orkney	Fish Trader	1st - Winner
BB4	Ray Shah	Dublin	IT Systems Administrator	2nd - Runner-up
BB4	Scott Turner	Liverpool	Waiter	3rd - Third Place
BB4	Steph (Stephanie) Coldicott	Worcester	Visual Merchandiser	4th - Evicted
BB4	Nush (Annuszka) Nowak	Worcester	Fine Art Student	5th - Evicted
BB4	Lisa Jeynes	South Wales	Shop Manager	6th - Evicted
BB4	Herjendar "Gos" Gosal	London	Chef	7th - Evicted
BB4	Tania do Nascimento	London	Shop Assistant	8th - Evicted
