Season	Champions	Runner-up	Third Place	Top Goalscorer	Club
1993-94	Sparta Prague (1)	Slavia Prague	Baník Ostrava	Horst Siegl (20)	Sparta Prague
1994-95	Sparta Prague (2)	Slavia Prague	FC Brno	Radek Drulák (15)	Drnovice
1995-96	Slavia Prague (1)	Sigma Olomouc	Baumit Jablonec	Radek Drulák (22)	Drnovice
1996-97	Sparta Prague (3)	Slavia Prague	Baumit Jablonec	Horst Siegl (19)	Sparta Prague
1997-98	Sparta Prague (4)	Slavia Prague	Sigma Olomouc	Horst Siegl (13)	Sparta Prague
1998-99	Sparta Prague (5)	Teplice	Slavia Prague	Horst Siegl (18)	Sparta Prague
1999-00	Sparta Prague (6)	Slavia Prague	Drnovice	Vratislav Lokvenc (21)	Sparta Prague
2000-01	Sparta Prague (7)	Slavia Prague	Sigma Olomouc	Vítězslav Tuma (15)	Drnovice
2001-02	Slovan Liberec (1)	Sparta Prague	Viktoria Žižkov	Jiří Štajner (15)	Slovan Liberec
2002-03	Sparta Prague (8)	Slavia Prague	Viktoria Žižkov	Jiří Kowalík (16)	1. FC Synot
2003-04	Baník Ostrava (1)	Sparta Prague	Sigma Olomouc	Marek Heinz (19)	Baník Ostrava
2004-05	Sparta Prague (9)	Slavia Prague	Teplice	Tomáš Jun (14)	Sparta Prague
2005-06	Slovan Liberec (2)	Mladá Boleslav	Slavia Prague	Milan Ivana (11)	FC Slovácko
2006-07	Sparta Prague (10)	Slavia Prague	Mladá Boleslav	Luboš Pecka (16)	Mladá Boleslav
2007-08	Slavia Prague (2)	Sparta Prague	Baník Ostrava	Václav Svěrkoš (15)	Baník Ostrava
2008-09	Slavia Prague (3)	Sparta Prague	Slovan Liberec	Andrej Kerić (15)	Slovan Liberec
2009-10	Sparta Prague (11)	Jablonec	Baník Ostrava	Michal Ordoš (12)	Sigma Olomouc
2010-11	Viktoria Plzeň (1)	Sparta Prague	Jablonec	David Lafata (19)	Jablonec
2011-12	Slovan Liberec (3)	Sparta Prague	Viktoria Plzeň	David Lafata (25)	Jablonec
