Team #1	Agg.	Team #2	1st leg	2nd leg
CSKA Sofia	151–200	Real Madrid	73-103	78-97
Zepter Idea Śląsk Wrocław	154–195	Scavolini	72-91	82-104
USK Prague	152–175	Estudiantes	84-99	68-76
Budivelnik	165–210	Knorr Bologna	80-114	85-96
TSV Bayer 04 Leverkusen	245–191	ASK Brocéni	126-103	119-88
Crvena zvezda	0 - 4 *	PAOK	0-2	0-2
Union Olimpija	166–176	Olympiacos	85-88	81-88
Guildford Kings	129–143	CSP Limoges	72-72	57-71
Efes Pilsen	120–131	Pau Orthez	65-67	55-64
Helsingin NMKY	175–192	Cibona	87-83	88-109
CSKA Moscow	173–174	Zadar	95-86	78-88
SL Benfica	156–189	Maccabi Tel Aviv	75-89	81-100
Hapoel Tel Aviv	164–170	Maes Pils Mechelen	88-80	76-90
