Year	Dates	Champion	Country	Score	To par	Margin of victory	Purse ( US $ )	Winner's share
2013	Aug 22–25	Lydia Ko (a) (2)	New Zealand	265	–15	5 strokes	2,000,000	300,000^
2012	Aug 23–26	Lydia Ko (a)	New Zealand	275	–13	3 strokes	2,000,000	300,000^
2011	Aug 25–28	Brittany Lincicome	United States	275	–13	1 stroke	2,250,000	337,500
2010	Aug 26–29	Michelle Wie	United States	276	–12	3 strokes	2,250,000	337,500
2009	Sep 3–6	Suzann Pettersen	Norway	269	−15	5 strokes	2,750,000	412,500
2008	Aug 14–17	Katherine Hull	Australia	277	−11	1 stroke	2,250,000	337,500
2007	AAug 16–19	Lorena Ochoa	Mexico	268	−16	3 strokes	2,250,000	337,500
2006	Aug 10–13	Cristie Kerr	United States	276	−12	1 stroke	1,700,000	255,000
2005	Jul 14–17	Meena Lee	South Korea	279	−9	1 stroke	1,300,000	195,000
2004	Jul 8–11	Meg Mallon (3)	United States	270	−18	4 strokes	1,300,000	195,000
2003	Jul 10–13	Beth Daniel	United States	276	−13	1 stroke	1,300,000	195,000
2002	Aug 15–18	Meg Mallon (2)	United States	284	−4	3 strokes	1,200,000	180,000
2001	Aug 16–19	Annika Sörenstam	Sweden	272	−16	2 strokes	1,200,000	180,000
