Year	Entrant	Chassis	Engine	Points
1982	John Player Lotus	Lotus 91	Cosworth V8	0
1987	Team AGS	AGS JH22	Cosworth V8	1
1989	Coloni SpA	Coloni FC188B	Cosworth V8	0
1989	Coloni SpA	Coloni C3	Cosworth V8	0
1990	EuroBrun Racing	EuroBrun ER189	Judd V8	6
1990	EuroBrun Racing	EuroBrun ER189B	Judd V8	6
1990	Benetton Formula	Benetton B190	Ford V8	6
1991	Camel Benetton Ford	Benetton B190B	Ford V8	8
1991	Camel Benetton Ford	Benetton B191	Ford V8	8
1991	Team 7UP Jordan	Jordan 191	Ford V8	8
1991	Minardi Team	Minardi M191	Ferrari V12	8
1992	Andrea Moda Formula	Andrea Moda S921	Judd V10	0
1995	Parmalat Forti Ford	Forti FG01	Ford V8	0
