Week	Date	TV Time	Opponent	Result
1	September 12, 1999	FOX 1:00 et	at Washington Redskins	W 41–35
2	September 20, 1999	ABC 9:00 et	Atlanta Falcons	W 24–7
3	Bye	Bye	Bye	Bye
4	October 3, 1999	FOX 1:00 et	Arizona Cardinals	W 35–7
5	October 10, 1999	FOX 1:00 et	at Philadelphia Eagles	L 13–10
6	October 18, 1999	ABC 9:00 et	at New York Giants	L 13–10
7	October 24, 1999	FOX 1:00 et	Washington Redskins	W 38–20
8	October 31, 1999	FOX 4:00 et	at Indianapolis Colts	L 34–24
9	November 8, 1999	ABC 9:00 et	at Minnesota Vikings	L 27–17
10	November 14, 1999	FOX 4:00 et	Green Bay Packers	W 27–13
11	November 21, 1999	FOX 4:00 et	at Arizona Cardinals	L 13–9
12	November 25, 1999	CBS 4:00 et	Miami Dolphins	W 20–0
13	December 5, 1999	ESPN 8:30 et	at New England Patriots	L 13–6
14	December 12, 1999	FOX 1:00 et	Philadelphia Eagles	W 20–10
15	December 19, 1999	CBS 4:00 et	New York Jets	L 22–21
16	December 24, 1999	FOX 4:00 et	at New Orleans Saints	L 31–24
17	January 2, 2000	FOX 4:00 et	New York Giants	W 26–18
