Position	Team	Played	Wins	Draws P.K. Wins / P.K. Losses	Losses	Scored	Conceded	Points
1	Cerro Corá	12	8	1/2	1	22	11	28
2	Guaraní	12	6	1/4	1	22	16	24
3	San Lorenzo	12	5	2/1	4	13	10	20
4	Sportivo Luqueño	12	4	3/2	3	18	16	20
5	Olimpia	12	4	4/0	4	18	16	20
6	Atl. Colegiales	12	4	3/2	3	18	18	20
7	Cerro Porteño	12	4	1/4	3	15	13	18
8	Nacional	12	4	1/2	5	14	23	16
9	Tembetary	12	4	1/2	5	31	27	16
10	Sport Colombia	12	3	1/3	5	20	19	14
11	Presidente Hayes	12	3	2/1	6	13	18	14
12	Sol de América	12	3	1/1	7	11	15	12
