Game	March	Opponent	Score	Record
61	2	Dallas Stars	2 - 2 OT	25-28-8
62	4	@ Washington Capitals	4 - 2	26-28-8
63	7	@ Boston Bruins	3 - 1	27-28-8
64	8	Toronto Maple Leafs	3 - 2 OT	28-28-8
65	10	Ottawa Senators	3 - 0	28-29-8
66	12	Boston Bruins	5 - 4	28-30-8
67	14	@ New York Islanders	3 - 2 OT	29-30-8
68	15	Washington Capitals	1 - 1 OT	29-30-9
69	19	Buffalo Sabres	3 - 2 OT	29-31-9
70	21	Pittsburgh Penguins	2 - 2 OT	29-31-10
71	22	@ Tampa Bay Lightning	6 - 3	29-32-10
72	24	@ Florida Panthers	2 - 1	30-32-10
73	27	@ Philadelphia Flyers	3 - 1	30-33-10
74	29	New York Islanders	3 - 1	31-33-10
