Name	Circuit	Date	Winning driver	Winning constructor	Report
Rome Grand Prix	Monte Mario	22 February	Carlo Masetti	Bugatti	Report
Provence Grand Prix	Miramas	8 March	Henry Segrave	Talbot	Report
Tripoli Grand Prix	Tripoli	18 April	Renato Balestrero	O.M.	Report
Coppa Florio	Madonie	3 May	André Boillot	Peugeot	Report
Targa Florio	Madonie	3 May	Meo Constantini	Bugatti	Report
Solituderennen	Solitude	17 May	Otto Merz	Mercedes	Report
Savio Circuit	Ravenna	21 May	Emilio Materassi	Itala	Report
Perugia Cup	Perugia	24 May	Gastone Brilli-Peri	Ballot	Report
Mugello Circuit	Mugello	31 May	Emilio Materassi	Itala	Report
Coppa Acerbo	Pescara	21 June	Guido Ginaldi	Alfa Romeo	Report
Coppa Vinci	Messina	5 July	Renato Balestrero	O.M.	Report
Grand Prix de la Marne	Reims-Gueux	2 August	Pierre Clause	Bignan	Report
Coppa Montenero	Montenero	16 August	Emilio Materassi	Itala	Report
Grand Prix du Comminges	Saint-Gaudens	6 September	"Goury"	Bignan	Report
San Sebastián Grand Prix	Lasarte	19 September	Albert Divo André Morel	Delage	Report
Garda Circuit	Salò	18 October	Aymo Maggi	Bugatti	Report
Apuano Circuit	Carrara	22 November	Renato Balestrero	O.M.	Report
