Title	Series	Director	Production Number	Release date
Baton Bunny	LT	Chuck Jones Abe Levitow	1466	1959-01-10
Mouse-Placed Kitten	LT	Robert McKimson	1488	1959-01-24
China Jones	LT	Robert McKimson	1475	1959-02-14
Hare-Abian Nights	MM	Ken Harris	1495	1959-02-28
Trick or Tweet	MM	Friz Freleng	1494	1959-03-21
The Mouse that Jack Built	MM	Robert McKimson	1520	1959-04-04
Apes of Wrath	MM	Friz Freleng	1522	1959-04-18
Hot-Rod and Reel!	LT	Chuck Jones	1524	1959-05-09
A Mutt in a Rut	LT	Robert McKimson	1493	1959-05-23
Backwoods Bunny	MM	Robert McKimson	14521	1959-06-13
Really Scent	MM	Abe Levitow	1418	1959-06-27
Mexicali Shmoes	LT	Friz Freleng	1496	1959-07-04
Tweet and Lovely	MM	Friz Freleng	1500	1959-07-18
Wild and Woolly Hare	LT	Friz Freleng	1499	1959-08-01
Cat's Paw	LT	Robert McKimson	1514	1959-08-15
Here Today, Gone Tamale	LT	Friz Freleng	1530	1959-08-29
Bonanza Bunny	MM	Robert McKimson	1527	1959-09-05
A Broken Leghorn	LT	Robert McKimson	1426	1959-09-26
Wild About Hurry	MM	Chuck Jones	1525	1959-10-10
A Witch's Tangled Hare	LT	Abe Levitow	1439	1959-10-31
Unnatural History	MM	Abe Levitow	1471	1959-11-14
Tweet Dreams	LT	Friz Freleng	1529	1959-12-05
People Are Bunny	MM	Robert McKimson	1537	1959-12-19
