Date	Visitor	Score	Home	Record
November 9	New York Americans	2–2	Chicago Black Hawks	0–0–1
November 12	New York Rangers	0–1	Chicago Black Hawks	1–0–1
November 14	Chicago Black Hawks	1–3	Montreal Canadiens	1–1–1
November 16	Chicago Black Hawks	2–1	Ottawa Senators	2–1–1
November 19	Ottawa Senators	1–2	Chicago Black Hawks	3–1–1
November 21	Chicago Black Hawks	0–2	Boston Bruins	3–2–1
November 23	Chicago Black Hawks	2–0	New York Americans	4–2–1
November 26	Boston Bruins	0–1	Chicago Black Hawks	5–2–1
November 30	Chicago Black Hawks	1–2	Detroit Red Wings	5–3–1
December 3	Chicago Black Hawks	0–1	New York Rangers	5–4–1
December 7	Montreal Maroons	1–3	Chicago Black Hawks	6–4–1
December 9	Chicago Black Hawks	0–1	Toronto Maple Leafs	6–5–1
December 12	Chicago Black Hawks	1–4	Detroit Red Wings	6–6–1
December 14	Detroit Red Wings	0–4	Chicago Black Hawks	7–6–1
December 17	Montreal Canadiens	1–4	Chicago Black Hawks	8–6–1
December 19	Chicago Black Hawks	2–2	Ottawa Senators	8–6–2
December 21	Chicago Black Hawks	0–0	Montreal Maroons	8–6–3
December 23	Chicago Black Hawks	3–1	Boston Bruins	9–6–3
December 26	Chicago Black Hawks	2–1	New York Americans	10–6–3
December 28	Ottawa Senators	2–2	Chicago Black Hawks	10–6–4
January 1	Toronto Maple Leafs	2–1	Chicago Black Hawks	10–7–4
January 7	New York Rangers	1–1	Chicago Black Hawks	10–7–5
January 11	Boston Bruins	0–0	Chicago Black Hawks	10–7–6
January 14	New York Americans	0–4	Chicago Black Hawks	11–7–6
January 16	Chicago Black Hawks	5–6	Montreal Maroons	11–8–6
January 18	Chicago Black Hawks	0–5	New York Rangers	11–9–6
January 20	Chicago Black Hawks	2–2	Toronto Maple Leafs	11–9–7
January 21	Montreal Maroons	2–2	Chicago Black Hawks	11–9–8
January 25	Montreal Canadiens	1–2	Chicago Black Hawks	12–9–8
January 28	Toronto Maple Leafs	0–2	Chicago Black Hawks	13–9–8
January 30	Chicago Black Hawks	2–0	Ottawa Senators	14–9–8
February 1	Chicago Black Hawks	3–3	Montreal Canadiens	14–9–9
February 4	Boston Bruins	2–1	Chicago Black Hawks	14–10–9
February 8	Detroit Red Wings	1–1	Chicago Black Hawks	14–10–10
February 11	Montreal Canadiens	1–4	Chicago Black Hawks	15–10–10
February 15	Ottawa Senators	2–5	Chicago Black Hawks	16–10–10
February 18	Chicago Black Hawks	2–1	New York Rangers	17–10–10
February 20	Chicago Black Hawks	1–3	New York Americans	17–11–10
February 22	New York Americans	0–0	Chicago Black Hawks	17–11–11
February 24	Chicago Black Hawks	2–3	Montreal Canadiens	17–12–11
February 27	Chicago Black Hawks	1–3	Boston Bruins	17–13–11
March 1	New York Rangers	3–1	Chicago Black Hawks	17–14–11
March 4	Montreal Maroons	2–4	Chicago Black Hawks	18–14–11
March 8	Detroit Red Wings	3–0	Chicago Black Hawks	18–15–11
March 11	Chicago Black Hawks	2–3	Detroit Red Wings	18–16–11
March 13	Chicago Black Hawks	2–6	Montreal Maroons	18–17–11
March 15	Chicago Black Hawks	2–1	Toronto Maple Leafs	19–17–11
March 18	Toronto Maple Leafs	2–3	Chicago Black Hawks	20–17–11
