Year	Show	Season	Episode title	Episode
2008	Generation Kill	1	"Bombs in the Garden"	7
2008	Generation Kill	1	"Stay Frosty"	6
2008	Generation Kill	1	"A Burning Dog"	5
2008	Generation Kill	1	"Combat Jack"	4
2008	Generation Kill	1	"Screwby"	3
2008	Generation Kill	1	"The Cradle of Civilization"	2
2008	Generation Kill	1	"Get Some"	1
2008	The Wire	5	" –30– "	10
2008	The Wire	5	" Late Editions "	9
2008	The Wire	5	" Clarifications "	8
2008	The Wire	5	" Took "	7
2008	The Wire	5	" The Dickensian Aspect "	6
2008	The Wire	5	" React Quotes "	5
2008	The Wire	5	" Transitions "	4
2008	The Wire	5	" Not For Attribution "	3
2008	The Wire	5	" Unconfirmed Reports "	2
2008	The Wire	5	" More with Less "	1
2006	The Wire	4	" Final Grades "	13
2006	The Wire	4	" A New Day "	11
2006	The Wire	4	" Alliances "	5
2006	The Wire	4	" Boys of Summer "	1
2004	The Wire	3	" Mission Accomplished "	12
2004	The Wire	3	" Middle Ground "	11
2004	The Wire	3	" Reformation "	10
2004	The Wire	3	" Slapstick "	9
2004	The Wire	3	" Moral Midgetry "	8
2004	The Wire	3	" Back Burners "	7
2004	The Wire	3	" Homecoming "	6
2004	The Wire	3	" Straight and True "	5
2004	The Wire	3	" Hamsterdam "	4
2004	The Wire	3	" Dead Soldiers "	3
2004	The Wire	3	" All Due Respect "	2
2004	The Wire	3	" Time After Time "	1
2003	The Wire	2	" Port in a Storm "	12
2003	The Wire	2	" Bad Dreams "	11
2003	The Wire	2	" Storm Warnings "	10
2003	The Wire	2	" Stray Rounds "	9
2003	The Wire	2	" Duck and Cover "	8
2003	The Wire	2	" Backwash "	7
2003	The Wire	2	" All Prologue "	6
2003	The Wire	2	" Undertow "	5
2003	The Wire	2	" Hard Cases "	4
2003	The Wire	2	" Hot Shots "	3
2003	The Wire	2	" Collateral Damage "	2
2003	The Wire	2	" Ebb Tide "	1
2002	The Wire	1	" Sentencing "	13
2002	The Wire	1	" Cleaning Up "	12
2002	The Wire	1	" The Hunt "	11
2002	The Wire	1	" The Cost "	10
2002	The Wire	1	" Game Day "	9
2002	The Wire	1	" Lessons "	8
2002	The Wire	1	" One Arrest "	7
2002	The Wire	1	" The Wire "	6
2002	The Wire	1	" The Pager "	5
2002	The Wire	1	" Old Cases "	4
2002	The Wire	1	" The Buys "	3
2002	The Wire	1	" The Detail "	2
2002	The Wire	1	" The Target "	1
2000	The Corner	1	"Everyman's Blues"	6
2000	The Corner	1	"Corner Boy's Blues"	5
2000	The Corner	1	"Dope Fiend Blues"	4
2000	The Corner	1	"DeAndre's Blues"	2
2000	The Corner	1	"Gary's Blues"	1
1999	Homicide: Life on the Street	7	"Self Defense"	18
1999	Homicide: Life on the Street	7	"Sideshow: Part 2"	15
1999	Homicide: Life on the Street	7	"The Same Coin"	12
1999	Homicide: Life on the Street	7	"Shades of Gray"	10
1998	Homicide: Life on the Street	6	"Finnegan's Wake"	21
1998	Homicide: Life on the Street	6	"Full Court Press"	18
1997	Homicide: Life on the Street	6	" Blood Ties: Part 3 "	3
1997	Homicide: Life on the Street	6	" Blood Ties: Part 2 "	2
1997	Homicide: Life on the Street	5	"Wu's on First?"	15
1996	Homicide: Life on the Street	5	"Bad Medicine"	4
1996	Homicide: Life on the Street	4	"Scene of the Crime"	18
1996	Homicide: Life on the Street	4	"Justice: Part 2"	14
1996	NYPD Blue	3	"Hollie and the Blowfish"	17
1994	Homicide: Life on the Street	2	" Bop Gun "	1
