Week	Date	Opponent	Result	Attendance
1	September 12, 2004	Kansas City Chiefs	W 34–24	75,939
2	September 19, 2004	at Jacksonville Jaguars	L 7–6	69,127
3	September 26, 2004	San Diego Chargers	W 23–13	74,533
4	October 3, 2004	at Tampa Bay Buccaneers	W 16–13	65,341
5	October 10, 2004	Carolina Panthers	W 20–17	75,072
6	October 17, 2004	at Oakland Raiders	W 31–3	57,293
7	October 25, 2004	at Cincinnati Bengals	L 23–10	65,806
8	October 31, 2004	Atlanta Falcons	L 41–28	75,083
9	November 7, 2004	Houston Texans	W 31–13	74,292
10	Bye	Bye	Bye	Bye
11	November 21, 2004	at New Orleans Saints	W 34–13	64,900
12	November 28, 2004	Oakland Raiders	L 25–24	75,936
13	December 5, 2004	at San Diego Chargers	L 20–17	65,395
14	December 12, 2004	Miami Dolphins	W 20–17	75,027
15	December 19, 2004	at Kansas City Chiefs	L 45–17	77,702
16	December 25, 2004	at Tennessee Titans	W 37–16	68,809
17	January 2, 2005	Indianapolis Colts	W 33–14	75,149
