Name	Years	Gender	Area	Authority	Decile	Roll
Aparima College	7-15	Coed	Riverton	State	5	178
Balfour School	1-6	Coed	Balfour	State	7	53
Blackmount School	1-8	Coed	Blackmount	State	9	10
Central Southland College	9-15	Coed	Winton	State	7	457
Dipton School	1-8	Coed	Dipton	State	8	72
Drummond Primary School	1-8	Coed	Drummond	State	9	79
Edendale School	1-6	Coed	Edendale	State	9	128
Fiordland College	7-15	Coed	Te Anau	State	8	220
Garston School	1-8	Coed	Garston	State	8	17
Glenham School	1-6	Coed	Glenham	State	7	12
Gorge Road School	1-8	Coed	Gorge Road	State	8	57
Halfmoon Bay School	1-8	Coed	Oban	State	8	23
Hauroko Valley Primary School	1-6	Coed	Clifden	State	8	43
Heddon Bush School	1-8	Coed	Heddon Bush	State	8	58
Hedgehope School	1-8	Coed	Hedgehope	State	8	26
Hillside Primary School	1-8	Coed	Browns	State	8	35
Isla Bank School	1-8	Coed	Isla Bank	State	8	47
Limehills School	1-8	Coed	Limehills	State	9	154
Lochiel School	1-8	Coed	Lochiel	State	9	61
Lumsden School	1-6	Coed	Lumsden	State	5	91
Mararoa School	1-8	Coed	The Key	State	8	38
Menzies College	7-15	Coed	Wyndham	State	4	272
Mossburn School	1-6	Coed	Mossburn	State	8	67
Northern Southland College	7-15	Coed	Lumsden	State	7	190
Otautau School	1-8	Coed	Otautau	State	5	128
Rimu School	1-8	Coed	Rimu	State	7	119
Riversdale School	1-8	Coed	Riversdale	State	8	140
Riverton School	1-6	Coed	Riverton	State	5	173
St Patrick's School	1-8	Coed	Nightcaps	State integrated	2	24
St Thomas School	1-8	Coed	Winton	State integrated	8	74
Takitimu Primary School	1-8	Coed	Nightcaps	State	4	90
Te Anau School	1-6	Coed	Te Anau	State	8	185
Te Tipua School	1-8	Coed	Te Tipua	State	8	38
Thornbury School	1-6	Coed	Thornbury	State	5	62
Tokanui School	1-8	Coed	Tokanui	State	6	102
Tuatapere Community College	1-15	Coed	Tuatapere	State	5	183
Tuturau Primary School	1-6	Coed	Tuturau	State	4	35
Waianiwa School	1-6	Coed	Waianiwa	State	8	65
Waikaia School	1-8	Coed	Waikaia	State	9	22
Waimahaka School	1-8	Coed	Waimahaka	State	7	9
Wallacetown School	1-6	Coed	Wallacetown	State	6	44
Winton School	1-8	Coed	Winton	State	7	241
Woodlands Full Primary School	1-8	Coed	Woodlands	State	9	80
Wyndham School	1-6	Coed	Wyndham	State	5	102
