Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
19	December 2	@ Oklahoma City	L 106–117 (OT)	Andre Iguodala (28)	Andre Iguodala , Samuel Dalembert (6)	Willie Green (6)	Ford Center 17,332	5-14
20	December 5	@ Charlotte	L 105–106 (OT)	Willie Green (26)	Andre Iguodala , Thaddeus Young (11)	Andre Iguodala (7)	Time Warner Cable Arena 13,352	5-15
21	December 7	Denver	L 83–93 (OT)	Andre Iguodala (31)	Samuel Dalembert (15)	Allen Iverson (6)	Wachovia Center 20,664	5-16
22	December 9	Detroit	L 86–90 (OT)	Andre Iguodala (18)	Samuel Dalembert (11)	Andre Iguodala (9)	Wachovia Center 12,136	5-17
23	December 11	Houston	L 91–96 (OT)	Andre Iguodala (24)	Samuel Dalembert (14)	Willie Green (5)	Wachovia Center 13,991	5-18
24	December 14	Golden State	W 117–101 (OT)	Thaddeus Young (26)	Thaddeus Young (14)	Jrue Holiday (6)	Wachovia Center 12,795	6-18
25	December 16	Cleveland	L 101–108 (OT)	Andre Iguodala (26)	Thaddeus Young (10)	Jrue Holiday (9)	Wachovia Center 19,517	6-19
26	December 18	@ Boston	W 98–97 (OT)	Elton Brand (23)	Marreese Speights (10)	Jrue Holiday (7)	TD Garden 18,624	7-19
27	December 19	LA Clippers	L 107–112 (OT)	Marreese Speights (28)	Andre Iguodala , Marreese Speights (9)	Andre Iguodala , Jrue Holiday (7)	Wachovia Center 13,752	7-20
28	December 22	@ Washington	L 98–105 (OT)	Elton Brand (18)	Elton Brand (12)	Andre Iguodala (7)	Verizon Center 15,435	7-21
29	December 26	@ Utah	L 76–97 (OT)	Thaddeus Young (20)	Samuel Dalembert (9)	Andre Iguodala , Willie Green (3)	EnergySolutions Arena 19,911	7-22
30	December 28	@ Portland	W 104–93 (OT)	Elton Brand (25)	Elton Brand (9)	Andre Iguodala (9)	Rose Garden Arena 20,640	8-22
