2003/ 04	2004/ 05	2007/ 08	2009/ 10	2010/ 11	2011/ 12	2012/ 13
UR He was not on the Main Tour.	UR	UR	UR	63	53	55
Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments
Not held	Not held	Not held	Non-ranking	Non-ranking	Non-ranking	LQ
Not held	Not held	Not held	Not held	Not held	LQ	LQ
Not held	Not held	LQ	LQ	LQ	LQ	WR
Not held	Not held	Not held	Not held	Not held	Not held	LQ
A	A	LQ	LQ	LQ	LQ	LQ
Not held	Not held	Not held	Not held	LQ	LQ	LQ
A	A	LQ	LQ	LQ	1R	LQ
Not held	Not held	Not held	Not held	DNQ	DNQ	DNQ
Not held	A	LQ	LQ	LQ	LQ	1R
LQ	LQ	LQ	LQ	1R	LQ	LQ
Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments
A	A	LQ	LQ	A	A	A
Variant Format Tournaments	Variant Format Tournaments	Variant Format Tournaments	Variant Format Tournaments	Variant Format Tournaments	Variant Format Tournaments	Variant Format Tournaments
Not held	Not held	Not held	Not held	1R	1R	3R
Former Ranking tournaments	Former Ranking tournaments	Former Ranking tournaments	Former Ranking tournaments	Former Ranking tournaments	Former Ranking tournaments	Former Ranking tournaments
A	Not held	Not held	Not held	Not held	Not held	MR
A	A	Not held	Not held	Not held	Not held	Not held
A	A	NR	Not held	Not held	Not held	Not held
Not held	Not held	LQ	Not held	Not held	Not held	Not held
