Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Stalybridge Celtic	38	8	4	81	30	+51	60
2	Penrith	38	9	6	88	39	+49	55
3	Radcliffe Borough	38	3	9	79	41	+38	55
4	Burscough	38	8	8	87	47	+40	52
5	Curzon Ashton	38	5	12	74	51	+23	47
6	Lancaster City	38	3	14	76	56	+20	45
7	Accrington Stanley	38	8	13	67	60	+7	42
8	St Helens Town	38	7	14	69	55	+14	41
9	Congleton Town	38	5	15	64	50	+14	41
10	Prescot Cables	38	6	15	72	45	+27	40
11	Leek Town	38	10	14	56	64	−8	38
12	Winsford United	38	12	14	49	54	−5	36
13	Formby	38	7	17	48	61	−13	35
14	Caernarfon Town	38	12	15	46	55	−9	34
15	Glossop	38	11	16	38	61	−23	33
16	Bootle	38	7	20	46	69	−23	29 2
17	Leyland Motors	38	9	20	44	79	−35	27
18	Netherfield	38	11	22	27	73	−46	21
19	Ashton United	38	9	22	47	86	−39	19 3
20	Darwen	38	2	34	29	111	−82	6
