Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
73	April 1	Charlotte	W 107–94 (OT)	Chris Bosh (24)	Chris Bosh (16)	T. J. Ford (8)	Air Canada Centre 19,023	41–32
74	April 3	@ Miami	L 89–92 (OT)	Chris Bosh (24)	Chris Bosh (11)	T. J. Ford (7)	American Airlines Arena 19,600	41–33
75	April 4	@ Orlando	W 111–108 (OT)	Chris Bosh (28)	Chris Bosh (10)	T. J. Ford (8)	Amway Arena 16,911	42–33
76	April 6	@ Philadelphia	W 94–85 (OT)	Chris Bosh (23)	Chris Bosh (13)	José Calderón , T. J. Ford (6)	Wachovia Center 17,566	43–33
77	April 8	Chicago	W 103–89 (OT)	Anthony Parker (27)	Chris Bosh (11)	José Calderón (8)	Air Canada Centre 19,800	44–33
78	April 9	@ Minnesota	W 111–100 (OT)	Anthony Parker (24)	Chris Bosh (13)	T. J. Ford (10)	Target Center 15,561	45–33
79	April 13	Detroit	W 87–84 (OT)	Anthony Parker (21)	Kris Humphries (18)	T. J. Ford (10)	Air Canada Centre 19,800	46–33
80	April 15	New York	W 107–105 (OT)	Chris Bosh (23)	Chris Bosh (8)	Chris Bosh (7)	Air Canada Centre 19,800	47–33
81	April 17	@ Detroit	L 84–100 (OT)	Uroš Slokar (18)	Morris Peterson (13)	Darrick Martin (8)	The Palace of Auburn Hills 22,076	47–34
82	April 18	Philadelphia	L 119–122 (OT)	Luke Jackson (30)	Chris Bosh (9)	T. J. Ford (10)	Air Canada Centre 19,800	47–35
