Round	Pick	Player	Position	School/Club Team
2	46	Eugene Epps	Defensive Back	Texas-El Paso
3	62	Ed Cross	Running Back	Pine Bluff
5	114	Bill Kishman	Defensive Back	Colorado State
6	139	Harold McLinton	Linebacker	Southern
7	166	Jeff Anderson	Running Back	Virginia
7	173	John Didion	Center	Oregon State
8	191	Larry Brown	Running Back	Kansas State
11	269	Eric Norri	Defensive Tackle	Notre Dame
12	295	Bob Shannon	Defensive Back	Tennessee State
13	322	Michael Shook	Defensive Back	North Texas
14	347	Rick Brand	Defensive Tackle	Virginia
15	374	Paul Rogers	Tackle	Virginia
16	399	Mike Washington	Linebacker	Southern
17	426	Rich Dobbert	Defensive End	Springfield (Mass.)
