Region	Date	Label	Format	Catalog
Japan	April 25, 1984	Alfa Records	stereo LP	ALR-28055
Japan	May 25, 1984	Alfa Records	CD	38XA-12
Japan	January 25, 1987	Alfa Records	CD	32XA-116
Japan	March 21, 1992	Alfa Records	CD	ALCA-281
Japan	August 31, 1994	Alfa Records	CD	ALCA-9011
Japan	August 29, 1998	Alfa Records	CD	ALCA-9206
Japan	December 6, 2000	Toshiba EMI	CD	TOCT-10752
Japan	January 23, 2002	Village Records	ed remaster CD	VRCL-2211
Japan	February 14, 2002	Village Records	ed remaster CD	VRCL-2231
Japan	May 27, 2009	Sony Music Direct	ed remaster CD	MHCL-20013
