Date	Opponent	Score	Loss	Attendance	Record
August 1	@ San Francisco Giants	4-1	Cain (7-8)	37,258	48-59
August 2	@ San Francisco Giants	6-8	Armas (7-7)	38,283	48-60
August 4	@ San Diego Padres	6-2	Young (9-5)	36,538	49-58
August 5	@ San Diego Padres	3-6	Astacio (2-2)	40,339	49-61
August 6	@ San Diego Padres	2-3 (10)	Bowie (0-1)	35,648	49-62
August 8	Florida Marlins	2-4	Armas (7-8)	24,922	49-63
August 9	Florida Marlins	5-2	Willis (7-9)	21,390	50-63
August 10	Florida Marlins	6-9	Wagner (0-1)	21,304	50-64
August 11	New York Mets	2-1	Glavine (12-5)	29,414	51-64
August 12	New York Mets	4-6	Schroder (0-1)	42,507	51-65
August 13	New York Mets	1-3	Rauch (3-3)	37,732	51-66
August 14	Atlanta Braves	4-10	Ortiz (9-10)	21,550	51-67
August 15	Atlanta Braves	5-0	Cormier (2-4)	24,036	52-67
August 16	Atlanta Braves	9-6	Smoltz (10-6)	28,094	53-67
August 17	Atlanta Braves	0-5	Bergmann (0-1)	29,007	53-68
August 18	@ Philadelphia Phillies	6-4	Myers (8-6)	30,123	54-68
August 19	@ Philadelphia Phillies	2-11	Ortiz (9-11)	34,881	54-69
August 20	@ Philadelphia Phillies	10-12	Astacio (3-3)	36,023	54-70
August 21	@ Florida Marlins	1-3	Traber (3-2)	9,316	54-71
August 22	@ Florida Marlins	5-7	Wagner (0-2)	10,260	54-72
August 23	@ Florida Marlins	7-9	Armas (8-9)	11,318	54-73
August 25	@ Atlanta Braves	7-6	Paronto (1-2)	33,621	55-73
August 26	@ Atlanta Braves	1-10	Astacio (3-4)	38,610	55-74
August 27	@ Atlanta Braves	6-13	Traber (3-3)	30,587	55-75
August 29	Philadelphia Phillies	6-10	Armas (8-10)	25,735	55-76
August 30	Philadelphia Phillies	1-5	Ortiz (9-12)	24,438	55-77
August 31	Philadelphia Phillies	6-5 (10)	Fultz (3-1)	22,221	56-77
