Week	Date	Opponent	Result	Attendance
1	September 20, 1970	at Green Bay Packers	W 40-0	56,263
2	September 27, 1970	Cincinnati Bengals	W 38-3	58,202
3	October 5, 1970	Chicago Bears	W 28-14	58,210
4	October 11, 1970	at Washington Redskins	L 31-10	50,414
5	October 18, 1970	at Cleveland Browns	W 41-24	83,577
6	October 25, 1970	at Chicago Bears	W 16-10	45,632
7	November 1, 1970	Minnesota Vikings	L 30-17	58,210
8	November 8, 1970	at New Orleans Saints	L 19-17	66,910
9	November 15, 1970	at Minnesota Vikings	L 24-20	47,900
10	November 22, 1970	San Francisco 49ers	W 28-7	56,232
11	November 26, 1970	Oakland Raiders	W 28-14	56,597
12	December 6, 1970	St. Louis Cardinals	W 16-3	56,362
13	December 14, 1970	at Los Angeles Rams	W 28-23	79,441
14	December 20, 1970	Green Bay Packers	W 20-0	57,387
