Name	Nationality	Position	Year of birth	Career	Appearances	Goals	Club
Quique Álvarez Category:Articles with hCards	Spain	Defender	1975	1995–2009	200	5	Villareal
Guillermo Amor Category:Articles with hCards	Spain	Midfielder	1967	1988–2002	402	48	Barcelona
Francesc Arnau Category:Articles with hCards	Spain	Goalkeeper	1975	1996–2011	169	0	Málaga
Mikel Arteta Category:Articles with hCards	Spain	Midfielder	1982	2000–¤	335	49	Arsenal
Gai Assulin Category:Articles with hCards	Israel	Midfielder	1991	2009–¤	21	1	Racing Santander
Sergi Barjuán Category:Articles with hCards	Spain	Defender	1971	1993–2002	352	6	Barcelona
Carles Busquets Category:Articles with hCards	Spain	Goalkeeper	1967	1990–1999	79	0	Barcelona
Sergio Busquets Category:Articles with hCards	Spain	Defender	1988	2008–¤	71	2	Barcelona
Jordi Cruyff Category:Articles with hCards	Netherlands	Midfielder	1974	1994–2010	256	42	Alavés
Cesc Fàbregas Category:Articles with hCards	Spain	Midfielder	1987	2003–¤	233	44	Barcelona
Dani Fernandez Category:Articles with hCards	Spain	Defender	1983	1992–¤	92	0	Genk
Albert Ferrer Category:Articles with hCards	Spain	Defender	1970	1990–2003	297	1	Barcelona
Andreu Fontàs Category:Articles with hCards	Spain	Defender	1989	2009–¤	7	0	Barcelona
Gabri García Category:Articles with hCards	Spain	Midfielder	1979	1999–¤	287	26	Ajax
Luis García Category:Articles with hCards	Spain	Midfielder	1978	1999–¤	225	40	UNAM
Óscar García Category:Articles with hCards	Spain	Midfielder	1973	1992–2005	169	31	Barcelona
Roger García Category:Articles with hCards	Spain	Midfielder	1976	1995–2007	258	29	Espanyol
Pep Guardiola Category:Articles with hCards	Spain	Midfielder	1971	1990–2006	291	9	Barcelona
Xavi Hernández Category:Articles with hCards	Spain	Midfielder	1980	1998–¤	405	46	Barcelona
Mauro Icardi Category:Articles with hCards	Argentina	Forward	1993	2012–¤	23	10	Sampdoria
Andrés Iniesta Category:Articles with hCards	Spain	Midfielder	1984	2002–¤	228	22	Barcelona
Bojan Krkić Category:Articles with hCards	Spain	Forward	1990	2007–¤	92	23	Amsterdam
Thiago Motta Category:Articles with hCards	Italy	Midfielder	1982	2001–¤	152	20	PSG
Fernando Navarro Category:Articles with hCards	Spain	Defender	1982	2001–¤	194	3	Sevilla
Gerard Piqué Category:Articles with hCards	Spain	Defender	1987	2005–¤	71	5	Barcelona
Iván de la Peña Category:Articles with hCards	Spain	Midfielder	1976	1995–2011	369	24	Espanyol
Oleguer Presas Category:Articles with hCards	Spain	Defender	1980	2002–¤	146	2	Ajax
Carles Puyol Category:Articles with hCards	Spain	Defender	1978	1999–¤	345	7	Barcelona
Pepe Reina Category:Articles with hCards	Spain	Goalkeeper	1982	2002–¤	317	0	Napoli
Pedro Rodríguez Category:Articles with hCards	Spain	Forward	1987	2007–¤	60	21	Barcelona
Víctor Valdés Category:Articles with hCards	Spain	Goalkeeper	1982	2002–¤	281	0	Barcelona
Victor Vazquez Category:Articles with hCards	Spain	Midfielder	1987	1997–¤	44	7	Club Brugge
Jeffrén Suárez Category:Articles with hCards	Spain	Forward	1988	2009–¤	23	3	Sporting
Giovani dos Santos Category:Articles with hCards	Mexico	Forward	1989	2007–¤	96	21	Villarreal
Luis Milla Category:Articles with hCards	Spain	Midfielder	1966	1986–2001	298	6	Real Madrid
Nayim Category:Articles with hCards	Spain	Midfielder	1966	1987–2000	341	28	Tottenham
Óscar Arpón Category:Articles with hCards	Spain	Midfielder	1975	1995–¤	138	5	River Ebro
Lluís Carreras Category:Articles with hCards	Spain	Defender	1972	1992–2007	220	10	Mallorca
Albert Celades Category:Articles with hCards	Spain	Midfielder	1975	1995–¤	267	11	Barcelona
Luis Cembranos Category:Articles with hCards	Spain	Midfielder	1972	1994–2004	176	37	Rayo Vallecano
Sergio García Category:Articles with hCards	Spain	Forward	1983	2003–¤	166	31	Espanyol
Javi Moreno Category:Articles with hCards	Spain	Forward	1974	1999–2010	134	40	Alavés
Francisco Rufete Category:Articles with hCards	Spain	Midfielder	1976	1995–¤	280	29	Hércules
Toni Velamazán Category:Articles with hCards	Spain	Midfielder	1977	1995–¤	198	27	Hospitalet
Antonio Pinilla Category:Articles with hCards	Spain	Forward	1971	1990–2008	242	40	Tenerife
Ángel Pedraza Category:Articles with hCards	Spain	Defender	1962	1982–1997	129	5	Mallorca
Cristóbal Parralo Category:Articles with hCards	Spain	Defender	1967	1987–2003	517	14	Espanyol
Lionel Messi Category:Articles with hCards	Argentina	Forward	1987	2004–¤	327	301	Barcelona
