Year	Competition	Date	Surface	Location	Score	Result
1997	Europe/Africa Zone Group II Group C	5 May	Clay	Manavgat , Turkey	3 – 0	Won
1997	Europe/Africa Zone Group II Group C	6 May	Clay	Manavgat , Turkey	1 – 2	Lost
1997	Europe/Africa Zone Group II Group C	7 May	Clay	Manavgat , Turkey	0 – 3	Lost
1997	Europe/Africa Zone Group II Group C	8 May	Clay	Manavgat , Turkey	3 – 0	Won
1997	Europe/Africa Zone Group II Group C	9 May	Clay	Manavgat , Turkey	3 – 0	Won
1998	Europe/Africa Zone Group II Group D	5 May	Clay	Manavgat , Turkey	2 – 1	Won
1998	Europe/Africa Zone Group II Group D	6 May	Clay	Manavgat , Turkey	1 – 2	Lost
1998	Europe/Africa Zone Group II Group D	7 May	Clay	Manavgat , Turkey	1 – 2	Lost
1998	Europe/Africa Zone Group II Group D	8 May	Clay	Manavgat , Turkey	3 – 0	Won
1998	Europe/Africa Zone Group II Group D	9 May	Clay	Manavgat , Turkey	1 – 2	Lost
1999	Europe/Africa Zone Group II Group A	26 April	Clay	Murcia , Spain	3 – 0	Won
1999	Europe/Africa Zone Group II Group A	27 April	Clay	Murcia , Spain	3 – 0	Won
1999	Europe/Africa Zone Group II Group A	28 April	Clay	Murcia , Spain	3 – 0	Won
1999	Europe/Africa Zone Group II Group A	30 April	Clay	Murcia , Spain	0 – 3	Lost
