Date	Venue	Score	Result	Competition
7 October 2000	Belfast , Northern Ireland	1–1	1–1	2002 World Cup qualifier
15 November 2000	Copenhagen , Denmark	1–0	2–1	Friendly
15 November 2000	Copenhagen , Denmark	2–0	2–1	Friendly
1 September 2001	Copenhagen , Denmark	1–0	1–1	2002 World Cup qualifier
6 October 2001	Copenhagen , Denmark	1–0	6–0	2002 World Cup qualifier
17 April 2002	Copenhagen , Denmark	3–0	3–1	Friendly
11 June 2002	Incheon , South Korea	1–0	2–0	2002 World Cup
29 March 2003	Bucharest , Romania	1–1	5–2	Euro 2004 qualifier
29 March 2003	Bucharest , Romania	5–2	5–2	Euro 2004 qualifier
9 February 2005	Athens , Greece	1–2	1–2	2006 World Cup qualifier
17 August 2005	Copenhagen , Denmark	1–0	4–1	Friendly
16 August 2006	Odense , Denmark	2–0	2–0	Friendly
6 September 2006	Reykjavík , Iceland	1–0	2–0	Euro 2008 qualifier
6 June 2007	Riga , Latvia	1–0	2–0	Euro 2008 qualifier
6 June 2007	Riga , Latvia	2–0	2–0	Euro 2008 qualifier
17 October 2007	Copenhagen , Denmark	3–1	3–1	Euro 2008 qualifier
19 June 2010	Pretoria , South Africa	2–1	2–1	2010 World Cup
11 August 2010	Copenhagen , Denmark	1–2	2–2	Friendly
26 March 2011	Oslo , Norway	1–0	1–1	Euro 2012 qualifier
7 October 2011	Nicosia , Cyprus	2–0	4–1	Euro 2012 qualifier
7 October 2011	Nicosia , Cyprus	3–0	4–1	Euro 2012 qualifier
