Race	Circuit	Date	Pole position	Fastest lap	Winning driver	Constructor	Tyre	Report
South African Grand Prix	Kyalami	1 January	Jim Clark	Jim Clark	Jim Clark	Lotus - Ford	F	Report
Spanish Grand Prix	Jarama	12 May	Chris Amon	Jean-Pierre Beltoise	Graham Hill	Lotus - Ford	F	Report
Monaco Grand Prix	Monaco	26 May	Graham Hill	Richard Attwood	Graham Hill	Lotus - Ford	F	Report
Belgian Grand Prix	Spa-Francorchamps	9 June	Chris Amon	John Surtees	Bruce McLaren	McLaren - Ford	G	Report
Dutch Grand Prix	Zandvoort	23 June	Chris Amon	Jean-Pierre Beltoise	Jackie Stewart	Matra - Ford	D	Report
French Grand Prix	Rouen-Les-Essarts	7 July	Jochen Rindt	Pedro Rodríguez	Jacky Ickx	Ferrari	F	Report
British Grand Prix	Brands Hatch	20 July	Graham Hill	Jo Siffert	Jo Siffert	Lotus - Ford	F	Report
German Grand Prix	Nürburgring	4 August	Jacky Ickx	Jackie Stewart	Jackie Stewart	Matra - Ford	D	Report
Italian Grand Prix	Monza	8 September	John Surtees	Jackie Oliver	Denny Hulme	McLaren - Ford	G	Report
Canadian Grand Prix	Mont-Tremblant	22 September	Jochen Rindt	Jo Siffert	Denny Hulme	McLaren - Ford	G	Report
United States Grand Prix	Watkins Glen	6 October	Mario Andretti	Jackie Stewart	Jackie Stewart	Matra - Ford	D	Report
Mexican Grand Prix	Hermanos Rodriguez	3 November	Jo Siffert	Jo Siffert	Graham Hill	Lotus - Ford	F	Report
