Week	Date	Opponent	Result	Attendance
1	September 4, 2000	at St. Louis Rams	L 41–36	65,595
2	September 10, 2000	Atlanta Falcons	W 42–14	75,466
3	September 17, 2000	at Oakland Raiders	W 33–24	62,078
4	September 24, 2000	Kansas City Chiefs	L 23–22	74,596
5	October 1, 2000	New England Patriots	L 28–19	75,684
6	October 8, 2000	at San Diego Chargers	W 21–7	56,079
7	October 15, 2000	Cleveland Browns	W 44–10	75,811
8	October 22, 2000	at Cincinnati Bengals	L 31–21	61,603
9	Bye	Bye	Bye	Bye
10	November 5, 2000	at New York Jets	W 30–23	78,305
11	November 13, 2000	Oakland Raiders	W 27–24	75,951
12	November 19, 2000	San Diego Chargers	W 38–37	75,218
13	November 26, 2000	at Seattle Seahawks	W 38–31	68,661
14	December 3, 2000	at New Orleans Saints	W 38–23	64,900
15	December 10, 2000	Seattle Seahawks	W 31–24	75,218
16	December 17, 2000	at Kansas City Chiefs	L 20–7	78,406
17	December 23, 2000	San Francisco 49ers	W 38–9	76,098
