Round	Player	Position	Nationality	College/Junior/Club Team (League)
1	Peter Forsberg	Center	Sweden	Modo Hockey ( Elitserien )
2	Yanick Dupre	Left Wing	Canada	Drummondville Voltigeurs ( QMJHL )
4	Aris Brimanis	Defense	United States	Bowling Green Falcons ( CCHA )
5	Yanick Degrace	Goaltender	Canada	Trois-Rivières Draveurs (QMJHL)
6	Clayton Norris	Right Wing	Canada	Medicine Hat Tigers ( WHL )
6	Dmitri Yushkevich	Defense	Russia	Yaroslavl Torpedo (RUS)
7	Andrei Lomakin	Left Wing	Russia	Moscow Dynamo (RUS)
9	Jim Bode	Left Wing	United States	Robbinsdale Armstrong High School (Minn.)
10	Josh Bartell	Defense	United States	Rome Free Academy (N.Y.)
11	Neil Little	Goaltender	Canada	RPI Engineers ( ECAC )
12	John Parco	Center	Canada	Belleville Bulls ( OHL )
Sup	Angelo Libertucci	Goaltender	Canada	Bowling Green Falcons (CCHA)
Sup	Brendan Locke	Right Wing	United States	Merrimack Warriors ( HE )
