English country name	Arabic romanised country name	Arabic country name	English capital name	Arabic romanised capital name	Arabic capital name
Algeria	al-Jazā'ir	الجزائر	Algiers	al-Jazā'ir	الجزائر
Bahrain	al-Baḥrayn	البحرين	Manama	al-Manāma	المنامة
Chad	Tšād	تشاد	N'Djamena	Nijāmīnā	نجامينا
Comoros	Juzur al-Qamar	جزر القمر	Moroni	Mūrūnī	موروني
Djibouti	Jībūtī	جيبوتي	Djibouti	Jībūtī	جيبوتي
Egypt	Miṣr	مصر	Cairo	al-Qāhira	القاهرة
Eritrea	Iritriyā	إرتريا	Asmara	Asmarā	أسمرا
Iraq	al-ʿIrāq	العراق	Baghdad	Baġdād	بغداد
Jordan	al-'Urdunn	الأردن	Amman	ʿAmmān	عمّان
Kuwait	al-Kuwayt	الكويت	Kuwait	al-Kuwayt	الكويت
Lebanon	Lubnān	لبنان	Beirut	Bayrūt	بيروت
Libya	Lībiyā	ليبيا	Tripoli	Ṭarābulus	طرابلس
Mauritania	Mūrītāniyā	موريتانيا	Nouakchott	Nawākšūṭ	نواكشوط
Morocco	al-Maġrib	المغرب	Rabat	ar-Rabāṭ	الرباط
Oman	ʿUmān	عمان	Muscat	Masqaṭ	مسقط
Palestine	Filasṭīn	فلسطين	Ramallah	Rāmallāh	رام الله
Qatar	Qaṭar	قطر	Doha	ad-Dawha	الدوحة
Saudi Arabia	as-Suʿūdiyya	السعودية	Riyadh	ar-Riyāḍ	الرياض
Somalia	aṣ-Ṣūmāl	الصومال	Mogadishu	Maqadīšū	مقديشو
Sudan	as-Sūdān	السودان	Khartoum	al-Kharṭūm	الخرطوم
Syria	Sūryā	سوريا	Damascus	Dimašq / aš-Šām	الشام / دمشق
Tunisia	Tūnis	تونس	Tunis	Tūnis	تونس
United Arab Emirates	al-Imārāt al-ʿArabiyya al-Muttaḥida	الإمارات العربيّة المتّحدة	Abu-Dhabi	Abū-Ẓabī	أبوظبي
Western Sahara	as-Ṣaḥrā' al-Ġarbīyya	الصحراء الغربية	El Aaiún	al-ʿAyūn	العيون
Yemen	al-Yaman	اليمن	San‘a’	Ṣanʿā’	‫ﺻﻨﻌﺎﺀ
