Entrant	Constructor	Chassis	Engine	Tyre	Driver	Rounds
Daimler Benz AG	Mercedes	W196	Mercedes M196 2.5 L8	C	Juan Manuel Fangio	1–2, 4–7
Daimler Benz AG	Mercedes	W196	Mercedes M196 2.5 L8	C	Karl Kling	1, 4–7
Daimler Benz AG	Mercedes	W196	Mercedes M196 2.5 L8	C	Stirling Moss	1–2, 4–7
Daimler Benz AG	Mercedes	W196	Mercedes M196 2.5 L8	C	Hans Herrmann	1
Daimler Benz AG	Mercedes	W196	Mercedes M196 2.5 L8	C	André Simon	2
Daimler Benz AG	Mercedes	W196	Mercedes M196 2.5 L8	C	Piero Taruffi	6–7
Scuderia Ferrari	Ferrari Lancia	625 555 D50	Ferrari 555 2.5 L4 Lancia DS50 2.5 V8	E	Giuseppe Farina	1–2, 4, 7
Scuderia Ferrari	Ferrari Lancia	625 555 D50	Ferrari 555 2.5 L4 Lancia DS50 2.5 V8	E	Umberto Maglioli	1, 7
Scuderia Ferrari	Ferrari Lancia	625 555 D50	Ferrari 555 2.5 L4 Lancia DS50 2.5 V8	E	José Froilán González	1
Scuderia Ferrari	Ferrari Lancia	625 555 D50	Ferrari 555 2.5 L4 Lancia DS50 2.5 V8	E	Maurice Trintignant	1–2, 4–7
Scuderia Ferrari	Ferrari Lancia	625 555 D50	Ferrari 555 2.5 L4 Lancia DS50 2.5 V8	E	Harry Schell	2
Scuderia Ferrari	Ferrari Lancia	625 555 D50	Ferrari 555 2.5 L4 Lancia DS50 2.5 V8	E	Piero Taruffi	2
Scuderia Ferrari	Ferrari Lancia	625 555 D50	Ferrari 555 2.5 L4 Lancia DS50 2.5 V8	E	Paul Frère	2, 4
Scuderia Ferrari	Ferrari Lancia	625 555 D50	Ferrari 555 2.5 L4 Lancia DS50 2.5 V8	E	Mike Hawthorn	5–7
Scuderia Ferrari	Ferrari Lancia	625 555 D50	Ferrari 555 2.5 L4 Lancia DS50 2.5 V8	E	Eugenio Castellotti	5–7
Scuderia Ferrari	Ferrari Lancia	625 555 D50	Ferrari 555 2.5 L4 Lancia DS50 2.5 V8	E	Luigi Villoresi	7
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Jean Behra	1–2, 4–7
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Roberto Mieres	1–2, 4–7
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Sergio Mantovani	1
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Luigi Musso	1–2, 4–7
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Carlos Menditeguy	1, 7
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Clemar Bucci	1
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Harry Schell	1
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Cesare Perdisa	2, 4
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	André Simon	6
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Peter Collins	7
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Horace Gould	7
Alberto Uria	Maserati	A6GCM	Maserati 250F1 2.5 L6	P	Alberto Uria	1
Scuderia Lancia	Lancia	D50	Lancia DS50 2.5 V8	P	Alberto Ascari	1–2
Scuderia Lancia	Lancia	D50	Lancia DS50 2.5 V8	P	Luigi Villoresi	1–2
Scuderia Lancia	Lancia	D50	Lancia DS50 2.5 V8	P	Eugenio Castellotti	1–2, 4
Scuderia Lancia	Lancia	D50	Lancia DS50 2.5 V8	P	Louis Chiron	2
Equipe Gordini	Gordini	T16	Gordini 23 2.5 L6	E	Élie Bayol	1–2
Equipe Gordini	Gordini	T16	Gordini 23 2.5 L6	E	Pablo Birger	1
Equipe Gordini	Gordini	T16	Gordini 23 2.5 L6	E	Jesús Iglesias	1
Equipe Gordini	Gordini	T16	Gordini 23 2.5 L6	E	Robert Manzon	2, 5–6
Equipe Gordini	Gordini	T16	Gordini 23 2.5 L6	E	Jacques Pollet	2, 5, 7
Equipe Gordini	Gordini	T16	Gordini 23 2.5 L6	E	Hernando da Silva Ramos	5–7
Equipe Gordini	Gordini	T16	Gordini 23 2.5 L6	E	Mike Sparken	6
Equipe Gordini	Gordini	T16	Gordini 23 2.5 L6	E	Jean Lucas	7
Ecurie Rosier	Maserati	250F	Maserati 250F1 2.5 L6	P	Louis Rosier	2, 4–5
Vandervell Products	Vanwall	VW 55	Vanwall 254 2.5 L4	P	Mike Hawthorn	2, 4
Vandervell Products	Vanwall	VW 55	Vanwall 254 2.5 L4	P	Ken Wharton	6–7
Vandervell Products	Vanwall	VW 55	Vanwall 254 2.5 L4	P	Harry Schell	6–7
Stirling Moss Ltd	Maserati	250F	Maserati 250F1 2.5 L6	D	Lance Macklin	2, 6
Stirling Moss Ltd	Maserati	250F	Maserati 250F1 2.5 L6	D	Johnny Claes	4
Stirling Moss Ltd	Maserati	250F	Maserati 250F1 2.5 L6	D	Peter Walker	5
Stirling Moss Ltd	Maserati	250F	Maserati 250F1 2.5 L6	D	John Fitch	7
E.N. Whiteaway	HWM - Alta	53	Alta GP 2.5 L4	D	Ted Whiteaway	2
Equipe Nationale Belge	Ferrari	625 500	Ferrari 625 2.5 L4	E	Johnny Claes	5
Gould's Garage (Bristol)	Maserati	250F	Maserati 250F1 2.5 L6	D	Horace Gould	5–6
Connaught Engineering	Connaught - Alta	B	Alta GP 2.5 L4	D	Kenneth McAlpine	6
Connaught Engineering	Connaught - Alta	B	Alta GP 2.5 L4	D	Jack Fairman	6
Connaught Engineering	Connaught - Alta	B	Alta GP 2.5 L4	D	Tony Rolt	6
Connaught Engineering	Connaught - Alta	B	Alta GP 2.5 L4	D	Peter Walker	6
Connaught Engineering	Connaught - Alta	B	Alta GP 2.5 L4	D	Leslie Marr	6
Cooper Car Company	Cooper - Bristol	T40	Bristol BS1 2.0 L6	D	Jack Brabham	6
Owen Racing Organisation	Maserati	250F	Maserati 250F1 2.5 L6	D	Peter Collins	6
Gilby Engineering	Maserati	250F	Maserati 250F1 2.5 L6	D	Roy Salvadori	6
Scuderia Volpini	Arzani-Volpini - Maserati	F1	Maserati 4CLT 2.5 L4	P	Luigi Piotti	7
