Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Winner	25 September 1988	Paris , France	Clay	Emmanuelle Derly	Louise Field Nathalie Herreman	6–0, 6–2
Runner-up	23 September 1990	Paris , France	Clay	Nathalie Herreman	Kristin Godridge Kirrily Sharpe	6–4, 3–6, 1–6
Winner	5 May 1991	Taranto , Italy	Clay	Florencia Labat	Laura Golarsa Ann Grossman	6–2, 7–5
Runner-up	22 September 1991	Paris , France	Clay	Julie Halard	Petra Langrová Radomira Zrubáková	4–6, 4–6
Winner	12 July 1992	Kitzbühel , Austria	Clay	Florencia Labat	Amanda Coetzer Wiltrud Probst	6–3, 6–3
Winner	26 July 1992	San Marino	Clay	Florencia Labat	Sandra Cecchini Laura Garrone	7–6, 7–5
Winner	30 August 1992	Schenectady , New York, USA	Hard	Florencia Labat	Ginger Helgeson Shannan McCarthy	6–3, 1–6, 6–2
Runner-up	6 August 1995	San Diego , California, USA	Hard	Sandrine Testud	Gigi Fernández Natalia Zvereva	2–6, 1–6
Runner-up	5 May 1996	Bol , Croatia	Clay	Alexandra Fusai	Laura Montalvo Paola Suárez	7–6, 3–6, 4–6
Winner	20 April 1997	Tokyo , Japan	Hard	Rika Hiraki	Kerry-Anne Guse Corina Morariu	6–4, 6–2
Runner-up	16 January 1999	Hobart , Australia	Hard	Émilie Loit	Mariaan de Swardt Elena Tatarkova	1–6, 2–6
