Name	Date	Year	Location	Killed	Injured
Gameel Al-Batouti , 59	10.31 Oct. 31	1999	Atlantic Ocean	216	0.1 0
Kim Dae-han , 56 (김대한)	02.18 Feb. 18	2003	Daegu	198	147
Segee, Robert Dale , 14	07.06 July 6	1944	Hartford , CT	167–169	412–682
Zhang Pilin , 37	05.07 May 7	2002	Dalian	111	0.1 0
Jin Ruchao , 41 (靳如超)	03.16 March 16	2001	Shijiazhuang	108	038 38
Fz	02.32	1959.9	Az	999.9	999.9
Tsu Way Ming , 41	12.19 Dec. 19	1997	Palembang	103	0.1 0
Unknown arsonist , 10	12.01 Dec. 1	1958	Chicago , IL	95	100
González, Julio , 35	03.25 March 25	1990	New York City , NY	87	0.0 ?
Keith, Alexander , 48	12.11 Dec. 11	1875	Bremerhaven	81–83	200
Ma Hongqing, 50 (马宏清)	07.16 July 16	2001	Mafang	80–89	098 98
Gz	03.32	1979.9	Cz	999.9	999.9
Nasra Yussef Mohammed al-Enezi , 23	08.15 Aug. 15	2009	Jahra	55–57	080.90 80–90
Chen Shuizong , 59 (陈水总)	06.07 June 7	2013	Xiamen	46	034 34
Graham, Jack Gilbert , 23	11.01 Nov. 1	1955	Denver , CO	44	0.1 0
Doty, Thomas G. , 34	05.22 May 22	1962	Unionville , MO	44	0.1 0
Gonzales, Francisco Paula , 27	05.07 May 7	1964	Danville , CA	43	0.1 0
Kz	04.32	1989.9	Dz	999.9	999.9
Younes Khayati , 32	08.21 Aug. 21	1994	Agadir	43	0.1 0
Chen Zhengping, 32 (陈正平)	09.15 Sep. 15	2002	Nanjing	42	300–400
Burke, David Augustus , 35	12.07 Dec. 7	1987	San Luis Obispo , CA	42	0.1 0
Chiasson, Louis, 64	12.02 Dec. 2	1969	Notre-Dame-du-Lac , QC	40	002 2
Huang Kefen, 27 (黄可芬)	06.24 June 24	1981	Xiamen	39	073 73
Pz	06.32	1999.9	Jz	999.9	999.9
Thompson, John, 42	08.16 Aug. 16	1980	London	37	023 23
Li Zhanjin, 34 (刘占金)	03.29 March 29	2000	Shajian	36–39	030.50 30-50+
Hansen, Erik Solbakke, 24	09.01 Sep. 1	1973	Copenhagen	35	017 17
Cal Çal, Kadir, 34	04.09 April 9	1991	Istanbul	34–36	007.10 7–10
Frank, Julian Andrew , 32	01.06 Jan. 6	1960	Bolivia , NC	33	0.1 0
Tz	08.32	2999.9	Lz	999.9	999.9
Qiu Fengguo, 23 (邱凤国)	02.15 Feb. 15	1986	Jilin	32	032 32
Unknown	04.22 April 22	1980	Saint-Jean-de-Losne	32	006.09 6–9
Gao Haiping , 24 (高海平)	07.22 July 22	1981	Yangquan	31	127
Yu Xiugang, 21	04.14 April 14	1988	Yujia	30	018 18
Zhang Yunliang , 62	06.05 June 5	2009	Chengdu	27	073 73
Uz	09.32	2999.9	Nz	999.9	999.9
Unknown Soldier	02.16 Feb. 16	1984	Debre Zeyit	25–28	010.12 10–12
Katagiri, Seiji , 35	02.09 Feb. 9	1982	Tokyo	24	141
de la Torre, Humberto Diaz, 19	09.04 Sep. 4	1982	Los Angeles , CA	24	032 32
Unknown arsonist	05.25 May 25	1982	Aire-sur-l'Adour	24	0.0 ?
Zhou Wenzhi, 25 (周文志)	06.26 June 26	1989	Shanghai	23	039 39
Cz	11.32	2999.9	Sz	999.9	999.9
Guay, Albert , 32	09.09 Sep. 9	1949	Charlevoix , QC	23	0.1 0
Arrendondo, Pedro	10.10 Oct. 10	1978	Caracas	23	0.0 ?
Matuschka, Sylvestre , 39	09.13 Sep. 13	1931	Biatorbágy	22	120
Durado, Gavino, 48	09.02 Sep. 2	1962	Manila	21	001.1 1+
Liang Hsin-teng, 51	05.12 May 12	1993	Taipei	20	007 7
Zz	12.32	2999.9	Zz	999.9	999.9
Köhler, Gundolf , 21	09.26 Sep. 26	1980	Munich	12	211
Alvarez Álvarez, Juan Manuel , 25	01.26 Jan. 26	2005	Los Angeles , CA	11	100+
Gerdt, Petri Erkki Tapio , 19	10.11 Oct. 11	2002	Vantaa	6	166
Dong Shihou, 29 (董世侯)	04.03 April 3	1968	Beijing	4	105
Copeland, David , 22	04.17 April 17/24/30	1999	London	3	129
