Round	Overall	Player	Nationality	Club team
1	2	Alexei Yashin	Russia	HC Dynamo Moscow (Russia)
2	25	Chad Penney	Canada	North Bay Centennials (OHL)
3	50	Patrick Traverse	Canada	Shawinigan Cataractes (QMJHL)
4	73	Radek Hamr	Czechoslovakia	HC Sparta Praha (Czech.)
5	98	Daniel Guerard	Canada	Victoriaville Tigres (QMJHL)
6	121	Alan Sinclair	United States	University of Michigan (NCAA)
7	146	Jaroslav Miklenda	Czechoslovakia	DS Olomuc (Czech.)
8	169	Jay Kenney	United States	New Milford Canterbury School (US HS)
9	194	Claude Savoie	Canada	Victoriaville Tigres (QMJHL)
10	217	Jack Grimes	Canada	Belleville Bulls (OHL)
11	242	Tomas Jelinek	Czechoslovakia	HPK (Finland)
11	264	Petter Ronnquist	Sweden	Nacka HK (Sweden)
