Locale	Skip	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot Pct.
Manitoba	Jennifer Jones	49	38	10	18	80
British Columbia	Kelly Scott	46	34	20	20	80
Saskatchewan	Stefanie Lawton	42	46	17	7	83
Ontario	Jenn Hanna	44	45	11	7	83
Alberta	Cathy King	45	45	13	12	79
Canada	Colleen Jones	49	44	11	15	82
New Brunswick	Sandy Comeau	46	52	7	12	77
Nova Scotia	Kay Zinck	42	46	11	10	76
Quebec	Brenda Nicholls	45	50	9	14	79
Northwest Territories Yukon	Kerry Koe	49	44	11	14	77
Prince Edward Island	Rebecca Jean MacPhee	49	44	11	14	77
Newfoundland and Labrador	Heather Strong	39	47	15	9	77
