Date	Round	Attendance	Opposition	Stadium
17 August 2008	Round 1	10,516	Queensland Roar	Westpac Stadium
24 August 2008	Round 2	6,110	Melbourne Victory	Westpac Stadium
14 September 2008	Round 4	6,926	Central Coast Mariners	Westpac Stadium
28 September 2008	Round 6	6,729	Sydney FC	Westpac Stadium
26 October 2008	Round 9	6,543	Queensland Roar	Westpac Stadium
23 November 2008	Round 12	5,500	Newcastle Jets	Westpac Stadium
28 November 2008	Round 13	7,953	Melbourne Victory	Westpac Stadium
14 December 2008	Round 15	6,362	Perth Glory	Westpac Stadium
19 December 2008	Round 16	6,722	Central Coast Mariners	Westpac Stadium
4 January 2009	Round 18	7,520	Newcastle Jets	Westpac Stadium
18 January 2009	Round 20	8,241	Adelaide United	Westpac Stadium
Total	79,122	79,122	79,122	79,122
Average	7,193	7,193	7,193	7,193
