Week	Date	Opponent	Result	Venue	Attendance
1	September 27, 1953	Cleveland Browns	L 27-0	Milwaukee County Stadium	22,604
2	October 4, 1953	Chicago Bears	L 17-13	City Stadium	24,835
3	October 11, 1953	Los Angeles Rams	L 38-20	Milwaukee County Stadium	23,353
4	October 18, 1953	Baltimore Colts	W 37-14	City Stadium	18,713
5	October 24, 1953	at Pittsburgh Steelers	L 31-14	Forbes Field	22,918
6	October 31, 1953	at Baltimore Colts	W 35-24	Memorial Stadium	33,797
7	November 8, 1953	at Chicago Bears	T 21-21	Wrigley Field	39,889
8	November 15, 1953	Detroit Lions	L 14-7	City Stadium	20,834
9	November 22, 1953	San Francisco 49ers	L 37-7	Milwaukee County Stadium	16,378
10	November 26, 1953	at Detroit Lions	L 34-15	Briggs Stadium	52,607
11	December 6, 1953	at San Francisco 49ers	L 48-14	Kezar Stadium	31,337
12	December 12, 1953	at Los Angeles Rams	L 33-17	Los Angeles Memorial Coliseum	23,069
