Name	Years	Gender	Area	Authority	Decile	Roll
Allenton School	1–6	Coed	Ashburton	State	8	343
Ashburton Borough School	1–8	Coed	Ashburton	State	7	371
Ashburton Christian School	1–8	Coed	Elgin	State integrated	10	89
Ashburton College	9–13	Coed	Ashburton	State	7	1154
Ashburton Intermediate	7–8	Coed	Ashburton	State	6	395
Ashburton Netherby School	1–6	Coed	Netherby	State	3	139
Carew Peel Forest School	1–6	Coed	Carew	State	10	70
Chertsey School	1–6	Coed	Chertsey	State	6	23
Dorie School	1–8	Coed	Rakaia	State	9	49
Fairton School	1–6	Coed	Ashburton	State	6	35
Hampstead School	1–6	Coed	Ashburton	State	4	327
Hinds School	1–8	Coed	Hinds	State	9	141
Lauriston School	1–6	Coed	Lauriston	State	9	85
Longbeach School	1–8	Coed	Willowby	State	9	147
Mayfield School	1–8	Coed	Mayfield	State	9	59
Methven School	1–6	Coed	Methven	State	9	231
Mount Hutt College	7–13	Coed	Methven	State	8	480
Mt Somers Springburn School	1–8	Coed	Mount Somers	State	10	87
Our Lady of Snows School	1–8	Coed	Methven	State integrated	10	71
Rakaia School	1–8	Coed	Rakaia	State	4	160
St Joseph's School	1–8	Coed	Ashburton	State integrated	8	229
Tinwald School	1–6	Coed	Tinwald	State	6	236
Wakanui School	1–8	Coed	Ashburton	State	8	80
