Class	Wheel arrangement	Fleet number(s)	Manufacturer	Year made	Quantity made	Quantity preserved
2-8-0 — oOOOO — Consolidation	2-8-0 — oOOOO — Consolidation	2-8-0 — oOOOO — Consolidation	2-8-0 — oOOOO — Consolidation	2-8-0 — oOOOO — Consolidation	2-8-0 — oOOOO — Consolidation	2-8-0 — oOOOO — Consolidation
F	2-8-0	95–103	Baldwin	1883	9	0
F-1	2-8-0	50–81	Baldwin	1888–1891	32	0
F-2	2-8-0	82–83	Baldwin	1888	2	0
F-3	2-8-0	84–91	Rome	1889–1890	8	0
F-4	2-8-0	92–94	Grant	1887	3	0
F-5	2-8-0	45–46	Schenectady	1900	2	0
F-6	2-8-0	47	Richmond	1895	1	0
F-7	2-8-0	48–49	Rhode Island	1888	2	0
F-8	2-8-0	4–6	PRR Altoona	1891	3	0
Y	2-8-0	30–43	Schenectady	1898	14	0
Y-1	2-8-0	17–29	Schenectady	1899–1900	13	1
Y-2	2-8-0	1250–1279	Schenectady Alco ( Richmond )	1901–1902	30	0
Y-3	2-8-0	1200–1213	Schenectady	1901	14	0
Y-4	2-8-0	1280–1293	Alco ( Schen. )	1903	14	0
Y-5	2-8-0	1214–1223	Alco ( Schen. )	1903	10	0
