Driver	Constructor	Laps	Time/Retired	Grid
Giancarlo Fisichella	Renault	57	1:24:17.336	1
Rubens Barrichello	Ferrari	57	+5.553	11
Fernando Alonso	Renault	57	+6.712	13
David Coulthard	Red Bull - Cosworth	57	+16.131	5
Mark Webber	Williams - BMW	57	+16.908	3
Juan Pablo Montoya	McLaren - Mercedes	57	+35.033	9
Christian Klien	Red Bull - Cosworth	57	+38.997	6
Kimi Räikkönen	McLaren - Mercedes	57	+39.633	10
Jarno Trulli	Toyota	57	+1:03.108	2
Felipe Massa	Sauber - Petronas	57	+1:04.393	18
Jenson Button	BAR - Honda	56	Withdrew	8
Ralf Schumacher	Toyota	56	+1 Lap	15
Jacques Villeneuve	Sauber - Petronas	56	+1 Lap	4
Takuma Sato	BAR - Honda	55	Withdrew	20
Narain Karthikeyan	Jordan - Toyota	55	+2 Laps	12
Tiago Monteiro	Jordan - Toyota	55	+2 Laps	14
Patrick Friesacher	Minardi - Cosworth	55	+4 Laps	16
Michael Schumacher	Ferrari	42	Collision	19
Nick Heidfeld	Williams - BMW	42	Collision	7
Christijan Albers	Minardi - Cosworth	16	Transmission	17
