Year	Division	League	Regular Season	Playoffs	Open Cup
1997*	2	USISL A-League	5th, Pacific	Did not qualify	Did not qualify
1998*	2	USISL A-League	3rd, Pacific	Did not qualify	3rd Round
1999*	2	USL A-League	4th, Pacific	Conference Quarterfinals	2nd Round
2000*	2	USL A-League	6th, Pacific	Did not qualify	Did not qualify
2001	4	USL PDL	1st, Southwest	Conference Semifinals	Did not qualify
2002	4	USL PDL	3rd, Southwest	Did not qualify	Did not qualify
2003	4	USL PDL	2nd, Southwest	National Semifinals	Did not qualify
2004	4	USL PDL	1st, Southwest	Conference Finals	Did not qualify
2005	4	USL PDL	1st, Southwest	National Semifinals	1st Round
2006	4	USL PDL	2nd, Southwest	National Semifinals	Did not qualify
2007	4	USL PDL	9th, Southwest	Did not qualify	Did not qualify
2008	4	USL PDL	8th, Southwest	Did not qualify	Did not qualify
2009	4	USL PDL	8th, Southwest	Did not qualify	1st Round
2010	4	USL PDL	3rd, Southwest	Did not qualify	Did not qualify
2011	4	USL PDL	3rd, Southwest	Did not qualify	Did not qualify
2012	4	USL PDL	7th, Southwest	Did not qualify	Did not qualify
