Game	November	Opponent	Score	Record
12	2	@ Buffalo Sabres	6 - 4	8-3-1
13	6	@ New Jersey Devils	6 - 5	8-4-1
14	8	@ New York Islanders	4 - 3	8-5-1
15	9	Philadelphia Flyers	5 - 3	9-5-1
16	11	Boston Bruins	4 - 4 OT	9-5-2
17	13	Detroit Red Wings	5 - 3	9-6-2
18	15	@ Philadelphia Flyers	3 - 3 OT	9-6-3
19	17	@ Los Angeles Kings	6 - 5	10-6-3
20	19	@ Minnesota North Stars	4 - 1	11-6-3
21	21	Montreal Canadiens	4 - 2	11-7-3
22	23	@ Pittsburgh Penguins	8 - 2	11-8-3
23	26	@ New York Islanders	6 - 4	12-8-3
24	27	New York Islanders	5 - 3	13-8-3
25	29	@ Winnipeg Jets	4 - 3	14-8-3
