Year	Boys' Singles	Girls' Singles	Boys' Doubles	Girls' Doubles	Mixed Doubles
2013	Heo Kwang-hee	Akane Yamaguchi	Li Junhui Liu Yuchen	Chae Yoo-jung Kim Ji-won	Huang Kaixiang Chen Qingchen
2012	Kento Momota	Nozomi Okuhara	Lee Chun Hei Ng Ka Long	Lee So-hee Shin Sheung-chan	Edi Subaktiar Melati Daeva Oktaviani
2011	Zulfadli Zulkiffli	Ratchanok Inthanon	Nelson Heg Wei Keat Teo Ee Yi	Lee So-hee Shin Sheung-chan	Alfian Eko Prasetya Gloria Emanuelle Widjaja
2010	Viktor Axelsen	Ratchanok Inthanon	Ow Yao Han Yew Hong Kheng	Bao Yixin Ou Dongni	Liu Cheng Bao Yixin
2009	Tian Houwei	Ratchanok Inthanon	Chooi Kah Ming Ow Yao Han	Tang Jinhua Xia Huan	Maneepong Jongjit Rodjana Chuthabunditkul
2008	Wang Zhengming	Saina Nehwal	Mak Hee Chun Teo Kok Siang	Fu Mingtian Yao Lei	Chai Biao Xie Jing
2007	Chen Long	Wang Lin	Chung Eui-seok Shin Baek-cheol	Xie Jing Zhong Qianxin	Lim Khim Wah Ng Hui Lin
2006	Hong Ji-hoon	Wang Yihan	Lee Yong-dae Cho Gun-woo	Ma Jin Wang Xiaoli	Lee Yong-dae Yoo Hyun-young
2004	Chen Jin	Cheng Shao-chieh	Hoon Thien How Tan Boon Heong	Tian Qing Yu Yang	He Hanbin Yu Yang
2002	Chen Jin	Jiang Yanjiao	Han Sang-hoon Park Sung-hwan	Du Jing Rong Lu	Guo Zhendong Yu Yang
2000	Bao Chunlai	Wei Yan	Sang Yang Zheng Bo	Zhang Yawen Wei Yili	Sang Yang Zhang Yawen
1998	Zhang Yang	Gong Ruina	Chan Chong Ming Teo Kok Seng	Zhang Jiewen Xie Xingfang	Chan Chong Ming Joanne Quay
1996	Zhu Feng	Yu Hua	Gan Wye Teck Chan Chong Ming	Gao Ling Yang Wei	Wang Wei Lu Ying
1994	Chen Gang	Wang Chen	Peter Gade Peder Nissen	Yao Jie Liu Lu	Zhang Wei Qian Hong
1992	Sun Jun	Kristin Junita	Santoso Kusno	Gu Jun Han Jingna	Jim Laugesen Rikke Olsen
