Location	Year	Champion	Runner-up	Score
Forest Hills	1980	Peter Fleming John McEnroe	Peter McNamara Paul McNamee	6–2, 5–7, 6–2
Forest Hills	1981	Peter Fleming John McEnroe	John Fitzgerald Andy Kohlberg	6–4, 6–4
Forest Hills	1982	Tracy Delatte Johan Kriek	Dick Stockton Erik Van Dillen	6–4, 3–6, 6–3
Forest Hills	1983	Tracy Delatte Johan Kriek	Kevin Curren Steve Denton	6–7, 7–5, 6–3
Forest Hills	1984	David Dowlen Nduka Odizor	Ernie Fernandez David Pate	7–6, 7–5
Forest Hills	1985	Ken Flach Robert Seguso	Givaldo Barbosa Ivan Kley	7–5, 6–2
Forest Hills	1986	Hans Gildemeister Andrés Gómez	Boris Becker Slobodan Živojinović	7–6, 7–5
Forest Hills	1987	Guy Forget Yannick Noah	Gary Donnelly Peter Fleming	4–6, 6–4, 6–1
Forest Hills	1988	Jorge Lozano Todd Witsken	Pieter Aldrich Danie Visser	6–3, 7–6
Forest Hills	1989	Rick Leach Jim Pugh	Jim Courier Pete Sampras	6–4, 6–2
