Location Chernobyl 1 Chernobyl 2 Chernobyl 3 Chernobyl 4 Chernobyl 5 Ignalina 1 Ignalina 2 Ignalina 3 Kursk 1 Kursk 2 Kursk 3 Kursk 4 Kursk 5 Kursk 6 Leningrad 1 Leningrad 2 Leningrad 3 Leningrad 4 Smolensk 1 Smolensk 2 Smolensk 3 Smolensk 4 Directorate for Construction of Kostoma NPP (For Kostroma 1 and 2) Table 31. Technology and Soviet Energy Availability - November 1981 - NTIS order #PB82-133455 (For Ignalina 4)	Reactor type	Status	Net Capacity (MW)	Gross Capacity (MW)
Chernobyl-1	RBMK-1000	shut down in 1996	740	800
Chernobyl-2	RBMK-1000	shut down in 1991	925	1000
Chernobyl-3	RBMK-1000	shut down in 2000	925	1000
Chernobyl-4	RBMK-1000	destroyed in the 1986 accident	925	1000
Chernobyl-5	RBMK-1000	construction cancelled in 1988	950	1000
Chernobyl-6	RBMK-1000	construction cancelled in 1988	950	1000
Ignalina-1	RBMK-1500	shut down in 2004	1185	1300
Ignalina-2	RBMK-1500	shut down in 2009	1185	1300
Ignalina-3	RBMK-1500	construction cancelled in 1988	1380	1500
Ignalina-4	RBMK-1500	plan cancelled in 1988	1380	1500
Kostroma-1	RBMK-1500	construction cancelled in 1980s	1380	1500
Kostroma-2	RBMK-1500	construction cancelled in 1980s	1380	1500
Kursk-1	RBMK-1000	operational until 2021	925	1000
Kursk-2	RBMK-1000	operational until 2024	925	1000
Kursk-3	RBMK-1000	operational until March 2014	925	1000
Kursk-4	RBMK-1000	operational until February 2016	925	1000
Kursk-5	MKER-1000	under construction since 1985 (shelved)	925	1000
Kursk-6	RBMK-1000	construction cancelled in 1993	925	1000
Leningrad-2	RBMK-1000	operational until 2021	925	1000
Leningrad-3	RBMK-1000	operational until June 2025	925	1000
Leningrad-4	RBMK-1000	operational until August 2026	925	1000
Smolensk-1	RBMK-1000	operational until December 2013	925	1000
Smolensk-2	RBMK-1000	operational until July 2015	925	1000
Smolensk-3	RBMK-1000	operational until July 2023	925	1000
