Date	Opponent	Venue	Result (Celtic score first)	Attendance	Match report
30 July 2000 – 18:05	Dundee United	Away	2–1	11,761	BBC Sport
5 August 2000 – 15:00	Motherwell	Home	1–0	58,534	BBC Sport
13 August 2000 – 15:00	Kilmarnock	Home	2–1	58,054	BBC Sport
19 August 2000 – 15:00	Heart of Midlothian	Away	4–2	16,744	BBC Sport
27 August 2000 – 13:00	Rangers	Home	6–2	59,476	BBC Sport
9 September 2000 – 15:00	Hibernian	Home	3–0	60,091	BBC Sport
18 September 2000 – 20:00	Dunfermline Athletic	Away	2–1	9,493	BBC Sport
23 September 2000 – 15:00	Dundee	Home	1–0	59,694	BBC Sport
1 October 2000 – 15:00	Aberdeen	Away	1–1	18,239	BBC Sport
14 October 2000 – 15:00	St. Mirren	Home	2–0	60,002	BBC Sport
17 October 2000 – 19:45	St. Johnstone	Away	2–0	8,946	BBC Sport
21 October 2000 – 15:00	Dundee United	Home	2–1	59,427	BBC Sport
29 October 2000 – 18:05	Motherwell	Away	3–3	10,820	BBC Sport
5 November 2000 – 14:35	Kilmarnock	Away	1–0	13,417	BBC Sport
12 November 2000 – 15:00	St. Johnstone	Home	4–1	57,137	BBC Sport
18 November 2000 – 15:00	Heart of Midlothian	Home	6–1	59,813	BBC Sport
26 November 2000 – 13:00	Rangers	Away	1–5	50,083	BBC Sport
29 November 2000 – 19:45	Hibernian	Away	0–0	14,939	BBC Sport
2 December 2000 – 15:00	Dunfermline Athletic	Home	3–1	59,244	BBC Sport
16 December 2000 – 15:00	Aberdeen	Home	6–0	60,013	BBC Sport
23 December 2000 – 15:00	St. Mirren	Away	2–0	9,487	BBC Sport
26 December 2000 – 15:00	Dundee United	Away	4–0	12,306	BBC Sport
2 January 2001 – 15:00	Kilmarnock	Home	6–0	59,380	BBC Sport
4 February 2001 – 18:05	Heart of Midlothian	Away	3–0	13,077	BBC Sport
11 February 2001 – 13:15	Rangers	Home	1–0	59,496	BBC Sport
21 February 2001 – 19:45	Motherwell	Home	1–0	58,880	BBC Sport
25 February 2001 – 18:05	Hibernian	Home	1–1	60,063	BBC Sport
4 March 2001 – 14:35	Dunfermline Athletic	Away	3–0	9,096	BBC Sport
14 March 2001 – 20:00	St. Johnstone	Away	2–1	8,993	BBC Sport
1 April 2001 – 18:05	Aberdeen	Away	1–0	16,067	BBC Sport
4 April 2001 – 19:45	Dundee	Home	2–1	59,562	BBC Sport
7 April 2001 – 12:55	St. Mirren	Home	1–0	60,440	BBC Sport
22 April 2001 – 18:05	Heart of Midlothian	Home	1–0	59,298	BBC Sport
29 April 2001 – 13:00	Rangers	Away	3–0	50,057	BBC Sport
6 May 2001 – 15:00	Hibernian	Away	5–2	8,728	BBC Sport
13 May 2001 – 15:00	Dundee	Home	0–2	59,435	BBC Sport
20 May 2001 – 15:00	Kilmarnock	Away	0–1	12,675	BBC Sport
