Number	Year Start	Year End	Name	Home Club
1	1867	1870	Bell, David	Caledonian
2	1870	1872	Dalrymple, Alexander	St. Andrew's
3	1872	1873	Macnoe, George	Caledonian
4	1873	1874	Hoagland, Andrew	St. Andrew's
5	1874	1877	Hamilton, John L.	Caledonian
6	1877	1879	Johnston, John	Milwaukee
7	1879	1881	Stevens, James	Jersey City
8	1881	1883	Patterson, John	New York
9	1883	1885	McLaren, William P.	Milwaukee
10	1885	1887	Stewart, James	Yorkers
11	1887	1888	McArthur, John	Chicago
12	1888	1890	Grieve, George	American
13	1890	1892	Peattie, John	Utica
14	1892	1893	Nicholson, Thomas	St. Andrew's
15	1893	1894	Watt, John	Thistle
16	1894	1895	Thomas, Edwin L.	Yorkers
17	1895	1897	McCulloch, John	St. Paul
18	1897	1898	Thompson, Alexander	United
19	1898	1899	Morrison, David G.	Manhattan
20	1899	1900	McGaw, John	Boston
21	1900	1901	Conley, James F.	Empire City
22	1901	1902	Munson, Alfred H.	Utica
23	1902	1903	Edwards, William D.	Jersey City
24	1903	1904	Thaw, James	Thistle
25	1904	1905	Allen, George B.	Utica
26	1905	1906	MacNee, Forrest	St. Andrew's
27	1906	1907	Johnson, Herman I.	Utica
28	1907	1908	Lehmann, John A.	Empire
29	1908	1909	Watt, Thomas J.	Thistle
30	1909	1910	Allen, W. Fred	Utica
31	1910	1911	Archibald, Henry	Caledonian
32	1911	1912	Calder, Frederick M.	Utica
33	1912	1913	Peene, George W.	Yorkers
34	1913	1914	Emmet, Richard S.	Mohawk
35	1914	1916	Johnson, Delos M.	Utica
36	1916	1920	Vaughen, Frank G.	Mohawk
37	1920	1922	Gurley, Nelson R.	Utica
38	1922	1923	Cluett, Walter H.	The Pines
39	1923	1926	Farrell, Thomas H.	Utica
40	1926	1928	Blanchet, Sidney F.	Saranca Lake
41	1928	1929	Halliday, Alexander B.	St. Andrew's
42	1929	1931	Curran, Sherwood S.	Utica
43	1931	1933	Porter, Alexander S.	The Country Club
44	1933	1935	Calder, John W.	Utica
45	1935	1937	Patterson, Jr., C. Campbell	The Country Club
46	1937	1939	Anderson, John	Schenectady
47	1939	1941	Davies, Robert L.	Utica
48	1941	1943	King, Franklin	The Country Club
49	1943	1945	Lydgate, Theodore H.	Schenectady
50	1945	1947	Williamson, Clifton P.	St. Andrew's
51	1947	1949	Hurd, Kenneth S.	Utica
52	1949	1951	Hastings, Addison B.	Ardsley
53	1951	1953	Hill, Lucius T.	The Country Club
54	1953	1954	Davis, Richard P.	Schenectady
55	1954	1956	Joy, John H.	Winchester
56	1956	1957	Searle, William A.	Utica
57	1957	1958	Smith, Dr. Deering G.	Nashua
58	1958	1959	Seibert, W. Lincoln	St. Andrew's
59	1959	1961	Reid, Ralston B.	Schenectady
60	1961	1963	Cushing, Henry K.	The Country Club
61	1963	1965	Wood, Brenner R.	Ardsley
62	1965	1966	Parkinson, Fred E.	Utica
63	1966	1968	Childs, Edward C.	Norfolk
64	1968	1970	Rand, Grenfell N.	Albany
65	1970	1972	Neill, Stanley E.	Winchester
66	1972	1974	Milano, Dr. Joseph E.	NY Caledonian
67	1974	1976	Neuber, Dr. Richard A.	Schenectady
68	1976	1978	Cobb, Arthur J.	Utica
69	1978	1980	Hamm, Arthur E.	Petersham
70	1980	1982	Will, A. Roland	Nutmeg
71	1982	1984	Cooper, C. Kenneth	NY Caledonian
72	1984	1986	Porter, David R.	Wellesley
73	1984	1986	Millington, A. Wesley	Schenectady
74	1988	1989	Dewees, Dr. David C.	Cape Cod
75	1989	1991	Owens, Charles D.	Nutmeg
76	1991	1993	Mitchell, J. Peter	Garden State
77	1993	1995	Lopez, Jr., Chester H.	Nashua
78	1995	1997	Freeman, Kim	Schenectady
79	1997	1999	Williams, Samuel C.	Broomstones
80	1999	2001	Hatch, Peggy	Philadelphia
81	2001	2003	Garber, Thomas	Utica
82	2003	2005	Pelletier, Robert	Potomac
83	2005	2007	Chandler, Robert P.	Broomstones
84	2007	2009	Krailo, Gwen	Nashua
85	2009	2011	Thomas, Carl	Utica
86	2011	2013	Macartney, Dick	Coastal Carolina
