Downstream	Upstream	Bandwidth	Price TL	Every 1 GB	MAX
10 Mbit/s	1 Mbit/s	20 GB	39 TL	3 TL	128,70 TL
10 Mbit/s	1 Mbit/s	40 GB	49 TL	3 TL	128,70 TL
10 Mbit/s	1 Mbit/s	80 GB	59 TL	3 TL	128,70 TL
20 Mbit/s	2 Mbit/s	20 GB	49 TL	3 TL	258,70 TL
20 Mbit/s	2 Mbit/s	40 GB	59 TL	3 TL	258,70 TL
20 Mbit/s	2 Mbit/s	80 GB	69 TL	3 TL	258,70 TL
40 Mbit/s	4 Mbit/s	20 GB	59 TL	3 TL	518,71 TL
40 Mbit/s	4 Mbit/s	40 GB	69 TL	3 TL	518,71 TL
40 Mbit/s	4 Mbit/s	80 GB	79 TL	3 TL	518,71 TL
60 Mbit/s	4 Mbit/s	20 GB	69 TL	3 TL	778,71 TL
60 Mbit/s	4 Mbit/s	40 GB	79 TL	3 TL	778,71 TL
60 Mbit/s	4 Mbit/s	80 GB	89 TL	3 TL	778,71 TL
