Name	Premier League	League Cup	FA Cup	UEFA Cup	Total
Tim Cahill Category:Articles with hCards	8	0	1	0	9
Marouane Fellaini Category:Articles with hCards	8	0	1	0	9
Louis Saha Category:Articles with hCards	6	0	2	0	8
Mikel Arteta Category:Articles with hCards	6	0	1	0	7
Leon Osman Category:Articles with hCards	6	0	1	0	7
Jô Category:Articles with hCards	5	0	0	0	5
Yakubu Aiyegbeni Category:Articles with hCards	4	0	0	1	5
Joleon Lescott Category:Articles with hCards	4	0	1	0	5
Steven Pienaar Category:Articles with hCards	3	0	0	0	3
Dan Gosling Category:Articles with hCards	2	0	1	0	3
Victor Anichebe Category:Articles with hCards	1	0	0	0	1
Leighton Baines Category:Articles with hCards	1	0	0	0	1
Segundo Castillo Category:Articles with hCards	0	0	0	1	1
Phil Jagielka Category:Articles with hCards	0	0	0	1	1
Joseph Yobo Category:Articles with hCards	1	0	0	0	1
Own Goal Category:Articles with hCards	1	0	0	0	1
