Heat	Lane	Name	Nationality	Time
5	5	Ágnes Kovács	Hungary	2:24.92
3	4	Kristy Kowal	United States	2:26.73
4	5	Qi Hui	China	2:26.76
4	2	Karine Brémond	France	2:27.13
4	4	Masami Tanaka	Japan	2:27.39
4	3	Beatrice Căslaru	Romania	2:27.59
4	6	Caroline Hildreth	Australia	2:27.60
3	3	Amanda Beard	United States	2:27.83
3	5	Sarah Poewe	South Africa	2:27.84
5	3	Olga Bakaldina	Russia	2:28.19
4	8	Ku Hyo-Jin	South Korea	2:28.21
4	7	Rebecca Brown	Australia	2:28.24
5	6	Luo Xuejuan	China	2:28.43
5	1	Christin Petelski	Canada	2:29.11
3	6	Anne Poleska	Germany	2:29.15
5	7	Alicja Pęczak	Poland	2:29.45
5	2	Junko Isoda	Japan	2:29.60
3	2	Ina Hüging	Germany	2:30.00
4	1	Elvira Fischer	Austria	2:30.05
5	4	Penny Heyns	South Africa	2:30.17
3	1	Brigitte Becue	Belgium	2:31.27
5	8	Agata Czaplicki	Switzerland	2:32.98
3	7	Jaime King	Great Britain	2:33.10
2	8	İlkay Dikmen	Turkey	2:33.34
1	5	Isabel Ceballos	Colombia	2:34.09
2	4	Inna Nikitina	Ukraine	2:34.20
2	2	Siow Yi Ting	Malaysia	2:34.52
2	3	Margarita Kalmikova	Latvia	2:35.69
2	5	Adriana Marmolejo	Mexico	2:36.93
2	7	Nicolette Teo	Singapore	2:37.39
1	4	Jenny Rose Guerrero	Philippines	2:38.10
2	6	Íris Edda Heimisdóttir	Iceland	2:38.52
1	3	Olga Moltchanova	Kyrgyzstan	2:41.43
2	1	Imaday Nuñez Gonzalez	Cuba	2:41.97
1	6	Anastasiya Korolyova	Uzbekistan	2:43.23
3	8	Lourdes Becerra	Spain	DNS
