Parish (Prestegjeld)	Sub-Parish (Sogn)	Church Name	Year Built	Location of the Church
Hafslo Parish	Hafslo	Hafslo kyrkje	1878	Hafslo
Hafslo Parish	Hafslo	Veitastrond kapell	1928	Veitastrond
Hafslo Parish	Solvorn	Solvorn kyrkje	1883	Solvorn
Hafslo Parish	Solvorn	Urnes stavkyrkje	1130	Urnes
Jostedal Parish	Fet og Joranger	Fet kyrkje	1894	Fet
Jostedal Parish	Fet og Joranger	Joranger kyrkje	1660	Joranger
Jostedal Parish	Gaupne	Gaupne kyrkje	1908	Gaupne
Jostedal Parish	Gaupne	Gaupne gamle kyrkje	1647	Gaupne
Jostedal Parish	Jostedal	Jostedal kyrkje	1660	Jostedal
Luster Parish	Dale	Dale kyrkje	1250	Luster
Luster Parish	Fortun	Fortun kyrkje	1879	Fortun
