Season	Staffel A	Staffel B	Staffel C	Staffel D	Staffel E
1971-72	TSG Wismar	Dynamo Berlin II	Chemie Leipzig	Motor Werdau	Rot-Weiß Erfurt
1972-73	Vorwärts Stralsund	Dynamo Berlin II *	Vorwärts Leipzig	Dynamo Dresden II *	Chemie Zeitz
1973-74	Vorwärts Stralsund	1. FC Union Berlin	Hallescher FC Chemie	Chemie Böhlen	Wismut Gera
1974-75	Dynamo Schwerin	1. FC Union Berlin	Chemie Leipzig	Energie Cottbus	Wismut Gera
1975-76	Hansa Rostock	1. FC Union Berlin	Hallescher FC Chemie II	Motor Werdau	FC Carl Zeiss Jena II
1976-77	Vorwärts Stralsund	Stahl Hennigsdorf	Chemie Leipzig	Chemie Böhlen	Wismut Gera
1977-78	Hansa Rostock	Vorwärts Neubrandenburg	Chemie Leipzig	Lok Dresden	Stahl Riesa
1978-79	TSG Bau Rostock	Vorwärts Frankfurt	Chemie Leipzig	Energie Cottbus	Motor Suhl
1979-80	Hansa Rostock	Dynamo Fürstenwalde	Chemie Böhlen	Energie Cottbus	Wismut Gera
1980-81	Schiffahrt/Hafen Rostock	1. FC Union Berlin	Chemie Schkopau	Energie Cottbus	Motor Suhl
1981-82	Vorwärts Stralsund	1. FC Union Berlin	Chemie Böhlen	Stahl Riesa	Motor Nordhausen
1982-83	Schiffahrt/Hafen Rostock	Stahl Brandenburg	Chemie Leipzig	Stahl Riesa	Wismut Gera
1983-84	Vorwärts Neubrandenburg	Stahl Brandenburg	Vorwärts Dessau	Sachsenring Zwickau	Motor Suhl
