Track	Recorded	Catalogue	Release Date	Song Title	Time
1.	2/3/56	47-6642b	8/31/56	Lawdy Miss Clawdy	2:08
2.	2/3/56	47-6642	8/31/56	Shake, Rattle & Roll	2:37
3.	4/14/56	47-6540	5/4/56	I Want You, I Need You, I Love You	2:40
4.	7/2/56	47-6604b	7/13/56	Hound Dog	2:16
5.	7/2/56	47-6604	7/13/56	Don't Be Cruel	2:02
6.	7/2/56	47-6643b	9/28/56	Anyway You Want Me (That's How I Will Be)	2:13
7.	8/24/56	EPA 4006	11/56	We're Gonna Move	2:30
8.	8/24/56	47-6643	9/28/56	Love Me Tender	2:41
9.	8/24/56	EPA 4006	11/56	Poor Boy	2:13
10.	8/24/56	EPA 4006	11/56	Let Me	2:08
11.	9/1/56	47-6800b	1/4/57	Playing for Keeps	2:50
12.	9/1/56	LPM 1382	10/19/56	Love Me	2:43
13.	9/2/56	LPM 1382	10/19/56	Paralyzed	2:23
14.	9/1/56	LPM 1382	10/19/56	How Do You Think I Feel	2:10
15.	9/1/56	LPM 1382	10/19/56	How's the World Treating You?	2:23
16.	9/2/56	LPM 1382	10/19/56	When My Blue Moon Turns to Gold Again	2:20
17.	9/2/56	LPM 1382	10/19/56	Long Tall Sally	1:51
18.	9/2/56	LPM 1382	10/19/56	Old Shep	4:10
19.	9/2/56	47-6800	1/4/57	Too Much	2:31
20.	9/2/56	LPM 1382	10/19/56	Anyplace Is Paradise	2:26
21.	9/3/56	LPM 1382	10/19/56	Ready Teddy	1:56
22.	9/3/56	LPM 1382	10/19/56	First in Line	3:22
23.	9/3/56	LPM 1382	10/19/56	Rip It Up	1:53
24.	1/12/57	EPA 4054	4/57	I Believe	2:05
25.	1/12/57	47-8740	12/3/65	Tell Me Why	2:05
26.	1/12/57	LPM 1515	7/1/57	Got A Lot O' Livin' to Do	2:31
27.	1/12/57	47-6870	3/22/57	All Shook Up	1:56
28.	1/13/57	LPM 1515	7/1/57	Mean Woman Blues	2:15
29.	1/13/57	EPA 4054	4/57	(There'll Be) Peace in the Valley (For Me)	3:22
