Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
3	November 1	@ Lakers	L 110–118 (OT)	J. Johnson (9)	J. Johnson (9) A. Horford (9)	J. Smith (7)	Staples Center 18,997	2-1
4	November 3	@ Trail Blazers	W 97–91 (OT)	J. Crawford (27)	A. Horford (13)	J. Crawford (7)	Rose Garden 20,325	3-1
5	November 4	@ Kings	W 113–105 (OT)	J. Crawford (26) J. Johnson (26)	J. Johnson (8) A. Horford (8)	J. Crawford (4) J. Johnson (4)	Arco Arena 11,751	4-1
6	November 6	@ Bobcats	L 83–103 (OT)	J. Crawford (13) J. Johnson (13) J. Smith (13)	J. Smith (7)	J. Teague (3) M. Bibby (3)	Time Warner Cable Arena 15,874	4-2
7	November 7	Nuggets	W 125–100 (OT)	J. Crawford (25)	A. Horford (12)	J. Smith (7)	Philips Arena 17,801	5-2
8	November 11	@ Knicks	W 114–101 (OT)	A. Horfod (25)	J. Smith (12)	M. Bibby (9)	Madison Square Garden 19,699	6-2
9	November 13	@ Celtics	W 97–86 (OT)	J. Johnson (24)	A. Horford (13)	M. Bibby (6)	TD Garden 18,624	7-2
10	November 14	Hornets	W 121–98 (OT)	J. Johnson (26)	J. Smith (17)	J. Johnson (7)	Philips Arena 18,572	8-2
11	November 16	Trail Blazers	W 99–95 (OT)	J. Johnson (35)	J. Smith (16)	J. Johnson (9)	Philips Arena 12,977	9-2
12	November 18	Heat	W 105–90 (OT)	J. Johnson (30)	J. Smith (14)	J. Smith (7)	Philips Arena 18,729	10-2
13	November 20	Rockets	W 105–103 (OT)	M. Williams (29)	M. Williams (9)	J. Johnson (9)	Philips Arena 16,674	11-2
14	November 21	@ Hornets	L 88–96 (OT)	J. Crawford (20)	A. Horford (11)	J. Smith (7)	New Orleans Arena 15,933	11-3
15	November 26	Magic	L 76–93 (OT)	J. Johnson (22)	J. Smith (13)	M. Bibby (5)	Philips Arena 19,193	11-4
16	November 27	@ 76ers	W 100–86 (OT)	J. Crawford (24)	M. Williams (9)	J. Crawford / M. Bibby (5)	Wachovia Center 12,984	12-4
