Phase	Round	Draw date	First leg	Second leg
Qualifying	First qualifying round	22 June 2009	2 July 2009	9 July 2009
Qualifying	Second qualifying round	22 June 2009	16 July 2009	23 July 2009
Qualifying	Third qualifying round	17 July 2009	30 July 2009	6 August 2009
Play-off	Play-off round	7 August 2009	20 August 2009	27 August 2009
Group stage	Matchday 1	28 August 2009 ( Monaco )	17 September 2009	17 September 2009
Group stage	Matchday 2	28 August 2009 ( Monaco )	1 October 2009	1 October 2009
Group stage	Matchday 3	28 August 2009 ( Monaco )	22 October 2009	22 October 2009
Group stage	Matchday 4	28 August 2009 ( Monaco )	5 November 2009	5 November 2009
Group stage	Matchday 5	28 August 2009 ( Monaco )	2–3 December 2009	2–3 December 2009
Group stage	Matchday 6	28 August 2009 ( Monaco )	16–17 December 2009	16–17 December 2009
Knockout phase	Round of 32	18 December 2009	18 February 2010	25 February 2010
Knockout phase	Round of 16	18 December 2009	11 March 2010	18 March 2010
Knockout phase	Quarter-finals	19 March 2010	1 April 2010	8 April 2010
Knockout phase	Semi-finals	19 March 2010	22 April 2010	29 April 2010
Knockout phase	Final	19 March 2010	12 May 2010 at HSH Nordbank Arena , Hamburg	12 May 2010 at HSH Nordbank Arena , Hamburg
