Cellist	Orchestra	Conductor	Record Company	Year of Recording	Format
Mstislav Rostropovich	Royal Philharmonic Orchestra	Sir Malcolm Sargent	EMI	1957	CD
Samuel Mayes	Boston Symphony Orchestra	Erich Leinsdorf	RCA Victor	1964	LP
Mstislav Rostropovich	USSR State Symphony Orchestra	Gennady Rozhdestvensky	Russian Revelation	1964	CD
Raphael Wallfisch	Scottish National Orchestra	Neeme Järvi	Chandos Records	1986	CD
Mstislav Rostropovich	London Symphony Orchestra	Seiji Ozawa	Warner Bros. Records	1987	CD
Yo-Yo Ma	Pittsburgh Symphony Orchestra	Lorin Maazel	Sony Classical Records	1991	CD
Lynn Harrell	Royal Philharmonic Orchestra	Vladimir Ashkenazy	Decca Records	1994	CD
Mischa Maisky	Russian National Orchestra	Mikhail Pletnev	Deutsche Grammophon	1995	CD
Alexander Rudin	Ukrainian National Symphony Orchestra	Theodore Kuchar	Naxos Records	1995	CD
Truls Mørk	City of Birmingham Symphony Orchestra	Paavo Järvi	Virgin Records	1998	CD
Han-na Chang	London Symphony Orchestra	Antonio Pappano	EMI Classics	2002	CD
Lynn Harrell	Royal Liverpool Philharmonic Orchestra	Gerard Schwarz	Chandos Records	2005	CD
