Game	December	Opponent	Score	Decision	Location/Attendance	Record
26	3	Columbus Blue Jackets	5-0	Miller	HSBC Arena/18,529	10-13-3
27	4	@ Ottawa Senators	1-0 (SO)	Miller	Scotiabank Place/16,364	11-13-3
28	7	@ Boston Bruins	2-3 (OT)	Miller	TD Garden/17,565	11-13-4
29	9	San Jose Sharks	6-3	Miller	HSBC Arena/18,017	12-13-4
30	11	Pittsburgh Penguins	2-5	Miller	HSBC Arena/18,690	12-14-4
31	15	Boston Bruins	3-2	Miller	HSBC Arena/18,197	13-14-4
32	17	@ Florida Panthers	2-6	Miller	BankAtlantic Center/16,894	13-15-4
33	18	@ Tampa Bay Lightning	1-3	Miller	St. Pete Times Forum/17,141	13-16-4
34	21	Mighty Ducks of Anaheim	5-2	Miller	HSBC Arena/18,690	14-16-4
35	23	Florida Panthers	3-4	Miller	HSBC Arena/18,690	14-17-4
36	27	@ Calgary Flames	2-5	Miller	Pengrowth Saddledome/19,289	14-18-4
