Pick #	Player	Position	Nationality	NHL team	College/junior/club team
43	David McLay	Left Wing	Canada	Philadelphia Flyers	Kelowna Wings (WHL)
44	Neil Davey	Defence	Canada	New Jersey Devils	Michigan State ( CCHA )
45	Trent Yawney	Defence	Canada	Chicago Black Hawks	Saskatoon Blades (WHL)
46	Ken Hodge, Jr.	Centre	United States	Minnesota North Stars	St. John's School (USHS-MA)
47	John Stevens	Defence	Canada	Philadelphia Flyers	Oshawa Generals (OHL)
48	John English	Defence	Canada	Los Angeles Kings	Sault Ste. Marie Greyhounds (OHL)
49	Milan Chalupa	Defence	Czechoslovakia	Detroit Red Wings	HC Dukla Jihlava (Czechoslovakia)
50	Toby Ducolon	Right Wing	United States	St. Louis Blues	Bellows Free Academy (USHS-VT)
51	Patrick Roy	Goaltender	Canada	Montreal Canadiens	Granby Bisons (QMJHL)
52	David Saunders	Left Wing	Canada	Vancouver Canucks	St. Lawrence University (ECAC)
53	Robert Dirk	Defence	Canada	St. Louis Blues	Regina Pats (WHL)
54	Graeme Bonar	Right Wing	Canada	Montreal Canadiens	Sault Ste. Marie Greyhounds (OHL)
55	Landis Chaulk	Left Wing	Canada	Vancouver Canucks	Calgary Wranglers (WHL)
56	Alan Perry	Goaltender	United States	St. Louis Blues	Mount St. Charles Academy (USHS-RI)
57	Steven Finn	Defence	Canada	Quebec Nordiques	Laval Voisins (QMJHL)
58	Mike Stevens	Centre	Canada	Vancouver Canucks	Kitchener Rangers (OHL)
59	Michal Pivonka	Centre	Czechoslovakia	Washington Capitals	Poldi Kladno (Czechoslovakia)
60	Ray Sheppard	Right Wing	Canada	Buffalo Sabres	Cornwall Royals (OHL)
61	Jeff Cornelius	Defence	Canada	Boston Bruins	Toronto Marlboros (OHL)
62	Jeff Norton	Defence	United States	New York Islanders	Cushing Academy (USHS-MA)
63	Todd Norman	Centre	United States	Edmonton Oilers	Hill-Murray High School (USHS-MN)
