Name	Years	League a	FA Cup	League Cup b	Other	Total
Brian Yeo Category:Articles with hCards	1963–1975	136 (356)	4 (16)	9 (15)	0 (0)	149 (387)
Hughie Russell Category:Articles with hCards	1946–1952	106 (186)	12 (23)	2 (0)	0 (0)	120 (209)
Tug Wilson Category:Articles with hCards	1936–1949	91 (211)	5 (16)	17 (25)	0 (1)	113 (253)
Tony Cascarino Category:Articles with hCards [D ]	1981–1987	78 (219)	11 (17)	9 (18)	12 (15)	110 (269)
Brian Gibbs Category:Articles with hCards	1962–1969	101 (259)	3 (9)	6 (16)	0 (0)	110 (284)
Steve Lovell Category:Articles with hCards	1986–1993	94 (233)	5 (10)	2 (17)	3 (15)	104 (275)
Damien Richardson Category:Articles with hCards	1972–1991	94 (323)	5 (14)	3 (20)	0 (0)	102 (357)
Ken Price Category:Articles with hCards	1976–1983	78 (255)	7 (21)	4 (18)	0 (0)	89 (194)
Ernie Morgan Category:Articles with hCards [D ]	1953–1957	73 (155)	4 (8)	0 (0)	0 (0)	77 (163)
Danny Westwood Category:Articles with hCards	1975–1982	74 (211)	1 (12)	2 (12)	0 (3)	77 (238)
