Place	Player	Country	Score	To par	Money ( $ )
1	Bobby Jones (a)	United States	70-79-71-73=293	+5	0
2	Joe Turnesa	United States	71-74-72-77=294	+6	500
T3	Leo Diegel	United States	72-76-75-74=297	+9	188
T3	Johnny Farrell	United States	76-79-69-73=297	+9	188
T3	Bill Mehlhorn	United States	68-75-76-78=297	+9	188
T3	Gene Sarazen	United States	78-77-72-70=297	+9	188
7	Walter Hagen	United States	73-77-74-74=298	+10	90
8	Willie Hunter	Scotland United States	75-77-69-79=300	+12	80
T9	Tommy Armour	Scotland United States	76-76-74-75=301	+13	68
T9	Willie Klein	United States	76-74-75-76=301	+13	68
T9	Macdonald Smith	Scotland United States	82-76-68-75=301	+13	68
T9	Dan Williams	United States	72-74-80-75=301	+13	68
