Game	March	Opponent	Score	Record	Points
62	1	@ Toronto Maple Leafs	2–3	35–16–11	81
63	4	@ Montreal Canadiens	1–7	35–17–11	81
64	5	St. Louis Blues	7–1	36–17–11	83
65	7	Atlanta Flames	5–3	37–17–11	85
66	11	Boston Bruins	6–2	38–17–11	87
67	12	Colorado Rockies	6–2	39–17–11	89
68	15	@ New York Rangers	2–2	39–17–12	90
69	16	@ Buffalo Sabres	1–3	39–18–12	90
70	18	Buffalo Sabres	2–2	39–18–13	91
71	20	New York Islanders	4–2	40–18–13	93
72	23	Toronto Maple Leafs	4–1	41–18–13	95
73	25	@ Minnesota North Stars	4–3	42–18–13	97
74	28	@ Colorado Rockies	3–4	42–19–13	97
75	31	@ Vancouver Canucks	3–2	43–19–13	99
