Year	Team	Chassis	Engine	Rank	Points
2002	Mo Nunn Racing	G-Force	Chevrolet	50th	2
2003	Andretti Green Racing	Dallara	Honda	4th	476
2004	Andretti Green Racing	Dallara	Honda	1st	618
2005	Andretti Green Racing	Dallara	Honda	2nd	548
2006	Andretti Green Racing	Dallara	Honda	6th	384
2007	Andretti Green Racing	Dallara	Honda	3rd	576
2008	Andretti Green Racing	Dallara	Honda	3rd	513
2009	Andretti Green Racing	Dallara	Honda	6th	386
2010	Andretti Autosport	Dallara	Honda	6th	453
2011	KV Racing Technology	Dallara	Honda	5th	366
2012	KV Racing Technology	Dallara DW12	Chevrolet	9th	351
2013	KV Racing Technology	Dallara DW12	Chevrolet	11th	397
