Ep.	Season	Title	Directed by	Written by	Original air date	Prod. Code
30	1	"The Thief"	Noam Pitlik	Jeffrey Ferro & Fredric Weiss	September 26, 1986	5A03
31	2	"Grandma"	Noam Pitlik	Frank Dungan & Jeff Stein & Tony Sheehan	October 03, 1986	5A04
32	3	"Debut"	Noam Pitlik	Fredric Weiss & Jeffrey Ferro	October 17, 1986	5A05
33	4	"Kevin's Date"	Noam Pitlik	Tony Sheehan	October 24, 1986	5A07
34	5	"Halloween"	Noam Pitlik	Jeffrey Ferro & Fredric Weiss	October 31, 1986	5A08
35	6	"Deportation: Part 1"	Noam Pitlik	Frank Dungan & Jeff Stein & Tony Sheehan	November 07, 1986	5A01
36	7	"Deportation: Part 2"	Noam Pitlik	Frank Dungan & Jeff Stein & Tony Sheehan	November 14, 1986	5A02
37	8	"Reunion"	Noam Pitlik	Frank Dungan & Jeff Stein	November 21, 1986	5A10
38	9	"The Spelling Bee"	Noam Pitlik	Fredric Weiss & Jeffrey Ferro	December 05, 1986	5A11
39	10	"Pills"	Noam Pitlik	Gene Braunstein & Bob Perlow	December 12, 1986	5A09
40	11	"The Ticket"	Noam Pitlik	Tony Sheehan	January 30, 1987	5A12
41	12	"College Bound"	Noam Pitlik	Jeffrey Ferro & Fredric Weiss	January 09, 1987	5A13
42	13	"Inky"	Noam Pitlik	Frank Dungan & Jeff Stein	January 16, 1987	5A14
43	14	"Jobless"	Noam Pitlik	Frank Dungan & Jeff Stein & Tony Sheehan	January 23, 1987	5A15
44	15	"The Crush"	Noam Pitlik	Fredric Weiss & Jeffrey Ferro	February 06, 1987	5A16
46	17	"The Cadet"	Noam Pitlik	Jeffrey Ferro & Fredric Weiss	February 20, 1987	5A18
47	18	"Kevin's Older Woman"	Noam Pitlik	Frank Dungan & Jeff Stein & Tony Sheehan	February 27, 1987	5A19
48	19	"Baby"	Noam Pitlik	Lisa Albert	March 06, 1987	5A06
49	20	"Separation"	Noam Pitlik	Frank Dungan & Jeff Stein	May 01, 1987	5A21
50	21	"The Mogul"	Noam Pitlik	Frank Dungan & Jeff Stein & Tony Sheehan	May 08, 1987	5A22
