Date	Visitor	Score	Home	Decision	Attendance	Record
December 1	Nashville	5 – 4	Montreal	Huet	21,273	13–9–4
December 4	Detroit	4 – 1	Montreal	Price	21,273	13–10–4
December 6	Montreal	4 – 2	Boston	Price	14,977	14–10–4
December 8	Carolina	5 – 1	Montreal	Price	21,273	14–11–4
December 11	Tampa Bay	3 – 2	Montreal	Price	21,273	14–11–5
December 13	Montreal	4 – 1	Philadelphia	Price	19,322	15–11–5
December 15	Toronto	1 – 4	Montreal	Price	21,273	16–11–5
December 18	Florida	3 – 2	Montreal	Price	21,273	16–12–5
December 20	Montreal	5 – 2	Washington	Huet	12,670	17–12–5
December 22	Montreal	2 – 3	Atlanta	Huet	17,153	17–12–6
December 23	Montreal	1 – 4	Dallas	Price	18,185	17–13–6
December 27	Montreal	5 – 2	Tampa Bay	Huet	20,294	18–13–6
December 28	Montreal	5 – 1	Florida	Huet	19,838	19–13–6
December 30	Montreal	3 – 4	NY Rangers	Huet	18,200	19–13–7
